Player,Team,Pos,WinScore,Efficiency,PER
Kayla McBride,MIN,G,5.433,13.8,14.352
Megan McConnell,PHO,G,2.0,5.0,13.61
Teaira McCowan,DAL,C,5.227,8.545,17.409
Aari McDonald,IND,G,3.571,11.143,12.653
Jade Melbourne,WAS,G,0.444,5.333,4.94
Diamond Miller,MIN,F,1.188,4.0,11.402
Kelsey Mitchell,IND,G,3.278,13.722,14.997
Tiffany Mitchell,LVA,G,1.062,3.5,6.614
Aneesah Morrow,CON,F,3.2,7.533,14.805
Murjanatu Musa,PHO,C,1.958,4.333,12.708
Olivia Nelson-Ododa,CON,C,6.235,11.294,15.333
Kia Nurse,CHI,G,0.972,5.333,6.174
Aaliyah Nye,LVA,G-F,0.789,3.789,5.879
Arike Ogunbowale,DAL,G,2.111,12.556,11.51
Nneka Ogwumike,SEA,F,10.342,20.158,19.148
Lucy Olsen,WAS,G,1.235,3.765,9.753
Michaela Onyenwere,CHI,F,0.444,3.944,6.38
Te-Hina PaoPao,ATL,G,2.083,5.556,12.429
Robyn Parks,CON,F,0.75,1.667,1.313
Shey Peddy,LAS,G,3.417,7.833,9.037
Haley Peters,CON,F-G,1.618,4.294,5.921
Alissa Pili,MIN,F,0.846,2.231,7.344
Kelsey Plum,LAS,G,3.861,16.667,14.009
Aerial Powers,GSV,G,1.25,2.0,21.241
Alexis Prince,PHO,F,4.0,6.0,-1.091
JJ Quinerly,DAL,G,1.444,5.778,13.418
Angel Reese,CHI,F,11.444,20.778,17.17
Saniya Rivers,CON,G,2.031,6.938,8.5
Mercedes Russell,LAS,C,1.184,2.579,9.382
Nyara Sabally,NYL,C,4.346,8.154,12.864
Satou Sabally,PHO,F,7.167,17.889,18.305
Janelle Salaün,GSV,F,2.5,8.0,7.316
Karlie Samuelson,MIN,G,0.938,3.5,5.847
Jacy Sheldon,CON,G,2.806,8.333,10.118
Jessica Shepard,MIN,F,7.7,12.533,17.584
Jaylyn Sherrod,NYL,G,0.333,1.8,5.557
Maddy Siegrist,DAL,F,4.227,9.091,12.543
Odyssey Sims,LAS,G,3.417,10.333,10.138
Alanna Smith,MIN,F,6.75,12.389,15.798
Azura Stevens,LAS,F-C,11.658,19.579,20.61
Breanna Stewart,NYL,F,9.132,20.158,20.285
Kiah Stokes,LVA,C,4.895,6.895,7.048
Sug Sutton,WAS,G,3.194,8.111,10.37
Brittney Sykes,WAS,G,2.594,13.562,12.643
Stephanie Talbot,GSV,F,2.5,5.5,7.446
Taylor Thierry,ATL,G-F,0.056,0.222,4.349
Alyssa Thomas,PHO,F,11.214,23.643,22.134
Kayla Thornton,GSV,F,6.639,14.556,14.056
Makayla Timpson,IND,F-C,0.818,1.727,6.605
Brianna Turner,IND,F-C,-0.192,0.308,-2.185
Sevgi Uzun,PHO,G,-0.286,1.714,1.918
Maria Kliundikova,MIN,F,4.056,6.444,21.96
Courtney Vandersloot,CHI,G,4.357,12.571,13.135
Hailey Van Lith,CHI,G,0.25,2.812,6.676
Shatori Walker-Kimbrough,ATL,G,0.342,1.474,4.195
Kathryn Westbeld,PHO,F,3.789,7.684,11.357
Maddy Westbeld,CHI,F,1.0,2.25,7.133
Erica Wheeler,SEA,G,4.342,11.895,12.95
Sami Whitcomb,PHO,G,4.833,11.167,12.591
Courtney Williams,MIN,G,5.921,15.737,15.856
Elizabeth Williams,CHI,C-F,4.0,8.389,13.713
Gabby Williams,SEA,F,7.868,16.316,15.347
Kiana Williams,PHO,G,4.333,7.667,29.766
A'ja Wilson,LVA,C,11.438,22.438,24.85
Jackie Young,LVA,G,4.974,15.526,16.183
Cecilia Zandalasini,GSV,F,2.6,7.6,11.313
