Player,Team,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Monique Akoa Makani,TOT,G,1.653846153846154,7.5,9.130158450704224,8.091012676056337
Chloe Bibby,TOT,F,0.2857142857142857,2.714285714285714,8.408714285714286,11.058900000000001
DeWanna Bonner,TOT,F-G,7.026315789473684,12.710526315789473,13.81947013487476,16.124555105973023
Lexi Held,TOT,G,0.7894736842105263,4.052631578947368,8.016713286713287,9.199284615384615
Haley Jones,TOT,F-G,1.375,4.0,11.839701492537314,12.049795522388061
Betnijah Laney-Hamilton,TOT,G-F,1.2884615384615385,4.846153846153847,6.997981438515082,6.891452204176333
Ta'Niya Latson,TOT,G,0.5,2.0588235294117645,10.369000000000002,10.141800000000003
Anneli Maley,TOT,F,-0.16666666666666666,0.8888888888888888,0.9935714285714309,-5.758242857142855
Aneesah Morrow,TOT,F,7.166666666666666,13.333333333333332,16.377145242070117,20.052706343906515
Amy Okonkwo,TOT,F,0.875,3.0,12.745937500000005,13.6242125
Kelsey Plum,TOT,G,5.823529411764706,19.235294117647058,20.042254335260118,23.59458400770713
Saylor Poffenbarger,TOT,F,0.0,0.5,-2.6062500000000006,-6.745350000000001
Sug Sutton,TOT,G,1.1,3.92,10.403696498054474,12.292985603112841
Grace VanSlooten,TOT,F,1.0555555555555556,1.8333333333333333,12.978809523809522,12.648780952380953
Shatori Walker-Kimbrough,TOT,G,0.875,1.6666666666666665,19.39088235294118,21.484782352941178
Maddy Westbeld,TOT,F,0.5,3.1666666666666665,4.002105263157897,-0.8012315789473667
Kiana Williams,TOT,G,-0.29166666666666663,2.4166666666666665,5.073483870967742,6.331932258064517
Kayla Alexander,TOR,C,1.875,3.5,8.361,7.157650000000001
Julie Allemand,TOR,G,6.482758620689655,12.517241379310345,12.36049338146811,13.022726714801447
Rebecca Allen,NYL,F-G,2.64,6.0,9.357037037037038,9.104869498910677
Laeticia Amihere,GSV,F,2.8714285714285714,5.114285714285714,13.502605459057074,12.731381389578166
Georgia Amoore,WAS,G,0.25,5.625,5.50949945593036,5.070216648531013
Nell Angloma,CON,F,1.1111111111111112,3.944444444444444,10.036722488038277,8.539426315789473
Pauline Astier,NYL,G,3.6500000000000004,10.975000000000001,13.27336548767417,12.895502357984995
Ariel Atkins,LAS,G,2.881578947368421,9.289473684210526,9.769835430784124,9.684369506292354
Shakira Austin,WAS,C,9.602564102564102,18.538461538461537,18.388873483535527,23.21071109185442
Valeriane Ayayi,PHO,F,2.3636363636363638,6.454545454545455,10.900460405156538,8.403190976058932
Rachel Banham,CHI,G,0.8055555555555555,3.694444444444444,7.357436974789916,8.500412605042017
Ornella Bankole,TOR,F,1.5,4.9,8.209555555555555,2.425714814814816
Sarah Ashlee Barker,POR,G,5.269230769230769,12.0,13.194283489096573,15.490675700934581
Raegan Beers,CON,F,2.0294117647058822,5.176470588235294,10.299343434343433,4.966324242424244
Kierstan Bell,LVA,F,0.576923076923077,2.0,4.611396226415095,4.072258490566039
Lauren Betts,WAS,C,5.2,8.925,15.840716374269006,18.088856140350877
Monique Billings,IND,F,5.538461538461538,9.923076923076923,15.338614379084966,14.78727908496732
Isobel Borlase,ATL,G,0.9500000000000001,4.1000000000000005,8.296873786407767,9.026783495145631
Aliyah Boston,IND,C-F,10.888888888888888,20.944444444444443,22.644118831822762,26.579051057401816
Cameron Brink,LAS,F,4.366666666666666,10.1,15.334308231173381,14.416413134851142
Noémie Brochant,PHO,F-G,2.9743589743589745,7.0256410256410255,9.380189944134079,10.872676536312847
Lexie Brown,SEA,G,1.6500000000000001,4.2,7.40081081081081,6.689372972972973
Paige Bueckers,DAL,G,7.973684210526315,21.105263157894736,20.114808917197454,25.466702547770705
Frieda Bühner,POR,F-C,1.9,5.628571428571428,10.803869731800766,11.498210344827587
Kennedy Burke,CON,G-F,3.5135135135135136,8.054054054054054,11.649954597048806,14.341249602724176
Rae Burrell,LAS,G-F,3.4871794871794872,11.384615384615385,13.449592559787423,17.426694508414528
Veronica Burton,GSV,G,6.7,15.850000000000001,17.863474054529465,19.344722339489884
Maya Caldwell,MIN,G,1.975,4.65,9.653194192377496,9.830751179673324
Jordin Canada,ATL,G,6.358974358974359,16.102564102564102,15.15428455284553,16.17631463414634
Emma Cannon,LAS,F,1.0,3.3125,12.520545454545454,8.792809090909094
Kamilla Cardoso,CHI,C,10.038461538461538,19.076923076923077,21.915903846153846,24.019698076923078
Bridget Carleton,POR,F,6.41025641025641,13.974358974358974,14.392443514644352,17.559703347280333
Raquel Carrera Quintana,NYL,C,0.9545454545454546,2.0,9.281583333333334,6.520566666666668
DiJonai Carrington,CHI,G-F,0.8636363636363636,5.7272727272727275,9.428314606741575,10.591315730337081
Chennedy Carter,LVA,G,4.0,11.076923076923077,21.97059090909091,25.053218181818185
Sha Carter,PHO,F,-0.07692307692307693,0.9230769230769231,3.450987654320988,-0.9064086419753092
Emma Čechová,MIN,C,2.6666666666666665,8.0,12.429423076923078,9.318900000000001
Kaila Charles,GSV,G-F,3.8875,8.25,11.139249363867686,10.882767684478374
Kaitlyn Chen,GSV,G,1.675,6.175000000000001,12.584677966101694,15.957883050847459
Shay Ciezki,PHO,G,2.5,6.75,15.936734693877549,16.2023693877551
Sonia Citron,WAS,G,6.7027027027027035,16.945945945945947,17.018216612377852,19.685911400651467
Alysha Clark,DAL,F,0.9444444444444444,3.0370370370370368,5.074045307443367,0.3639485436893187
Caitlin Clark,IND,G,6.680555555555555,21.47222222222222,20.419005328596807,24.332736589698047
Natasha Cloud,CHI,G,5.487179487179487,14.153846153846153,13.927538185085353,14.171056334231805
Nia Coffey,MIN,F,5.737500000000001,9.575000000000001,12.44739934711643,13.450521327529925
Napheesa Collier,MIN,F,10.375,20.0,20.459808219178083,26.091941095890412
Maria Conde,TOR,F,3.7424242424242427,9.515151515151516,8.863063063063063,10.528539639639641
Zia Cooke,SEA,G,0.28750000000000003,4.65,9.075016556291391,11.283303973509936
Kahleah Copper,PHO,G-F,3.4605263157894735,14.789473684210526,14.36165335463259,18.053324920127793
Aicha Coulibaly,CHI,G,2.6785714285714284,5.928571428571428,12.134482758620692,10.74075676392573
Sophie Cunningham,IND,G,3.871794871794872,8.564102564102564,11.504445701357469,11.695065158371044
Damiris Dantas,IND,C-F,0.5416666666666666,2.833333333333333,6.643469387755102,2.2968591836734706
Antonia Delaere,MIN,G,1.3513513513513513,3.486486486486487,9.00468085106383,8.97698510638298
Skylar Diggins,CHI,G,4.157894736842105,13.26315789473684,14.80142857142857,17.53734484629295
Stefanie Dolson,SEA,C,2.025,4.800000000000001,7.463966942148759,4.195461983471077
Angela Dugalić,WAS,F,1.8823529411764706,3.8235294117647056,9.863582554517135,10.356470093457943
Kara Dunn,PHO,G,2.0,7.0,12.487894736842106,12.911531578947372
Aaliyah Edwards,CON,F,4.5769230769230775,11.076923076923077,16.26787878787879,18.841892424242427
Emily Engstler,POR,F,6.5875,12.600000000000001,15.347489795918369,16.900604081632657
Dana Evans,LVA,G,-0.5454545454545454,2.1818181818181817,1.4353846153846157,2.9209879120879108
Temi Fagbenle,TOR,C,2.782608695652174,6.608695652173913,9.852412060301507,9.149452763819097
Awa Fam,SEA,C,6.0,12.090909090909092,12.918485181119651,15.021589352360046
Mariella Fasoula,TOR,C,0.0,1.3333333333333333,5.272000000000001,-0.9977666666666634
Marine Fauthoux,NYL,G,1.5,4.277777777777778,7.456893617021277,7.960176595744681
Sania Feagin,LAS,F,-0.16666666666666666,0.6666666666666666,-1.4330000000000007,-13.551100000000002
Leonie Fiebich,NYL,F,4.147058823529412,10.352941176470589,10.85685884691849,11.673591848906563
Nadia Fingall,GSV,C,0.9444444444444444,1.6666666666666665,18.22357142857143,21.430685714285715
Alicia Flórez,WAS,G,0.1774193548387097,3.096774193548387,5.434335106382976,4.424192553191488
Alex Fowler,NYL,F,-2.75,2.5,0.40516129032258313,-8.508196774193545
Azzi Fudd,DAL,G,3.8833333333333333,10.966666666666667,12.631968421052632,16.42519473684211
Rebekah Gardner,NYL,G,3.1184210526315788,6.973684210526315,14.02261403508772,14.191215789473686
Luisa Geiselsöder,POR,C,0.9761904761904762,4.476190476190476,5.265488505747126,3.1049919540229896
Allisha Gray,ATL,G,5.5875,16.25,16.593922610015177,19.64333095599393
Chelsea Gray,LVA,G,5.448717948717949,14.794871794871794,13.004754481683555,15.738938971161343
Chance Gray,LAS,G,1.0,2.9729729729729732,7.0550839328537185,7.477101438848922
Zaay Green,TOR,G,-0.3333333333333333,1.3333333333333333,1.7156666666666665,1.7385666666666664
Aubrey Griffin,NYL,G-F,0.125,0.5,2.9475000000000002,1.59265
Brittney Griner,CON,C,6.527777777777778,14.222222222222221,18.540549450549452,22.490548351648354
Megan DiLeo,POR,C,6.184210526315789,13.421052631578947,17.991052631578945,21.233362719298245
Bree Hall,IND,G,0.5,1.0,12.690769230769233,21.362746153846157
Dearica Hamby,LAS,F,8.700000000000001,17.6,18.14168256721596,20.60323651344319
Eliška Hamzová,MIN,G,1.0,2.619047619047619,12.989285714285716,9.57684642857143
Rori Harmon,WAS,G,-0.041666666666666664,1.3333333333333333,1.2568571428571427,-3.491671428571429
Isabelle Harrison,TOR,F,5.767857142857142,12.892857142857142,15.871780821917808,18.762735616438356
Jordan Harrison,POR,G,1.6666666666666665,6.666666666666666,12.890130718954248,10.939357516339872
Tyasha Harris,IND,G,1.8,5.0,10.565889570552148,11.09431922290389
Tiffany Hayes,GSV,G,3.1578947368421053,9.131578947368421,17.227464342313787,17.994652773375595
Natisha Hiedeman,SEA,G,4.694444444444444,14.444444444444443,15.08497670083877,19.482711742777262
Naz Hillmon,ATL,F,4.743589743589744,10.23076923076923,10.165572052401746,11.66557248908297
Myisha Hines-Allen,IND,F,2.661764705882353,5.852941176470588,9.39477321814255,7.252442116630669
Emese Hof,MIN,C,-0.3333333333333333,2.0,0.9057142857142835,-5.515385714285715
Joyner Holmes,SEA,F,2.5,3.0,6.299333333333333,9.7029
Mackenzie Holmes,SEA,F,3.1,5.08,13.848595041322312,11.36604876033058
Jordan Horston,SEA,F,2.7857142857142856,6.085714285714285,9.307307060755335,9.813579802955665
Natasha Howard,MIN,F,10.012500000000001,19.8,21.315289608177174,24.25464105621806
Rhyne Howard,ATL,G,7.589743589743589,17.692307692307693,17.615556379821957,20.820168545994065
Lexie Hull,IND,G,2.5250000000000004,6.3500000000000005,8.121840731070497,6.042646736292427
Sabrina Ionescu,NYL,G,4.351851851851851,13.814814814814815,13.502500000000001,17.524778048780487
Kiki Iriafen,WAS,F,9.08108108108108,17.91891891891892,17.87273073263559,20.459575547098005
Ashlon Jackson,CON,G,0.1,1.5333333333333332,3.0857309941520477,4.095215789473685
Rickea Jackson,CHI,F,4.25,13.0,15.587711864406787,20.82059491525424
Aziaha James,DAL,G,2.0428571428571427,5.942857142857143,15.083546798029557,17.070328571428572
Gabriela Jaquez,CHI,G,2.3714285714285714,6.3428571428571425,9.243092006033185,10.688734087481148
Justė Jocytė,GSV,G-F,-0.3214285714285714,1.1428571428571428,3.407346938775512,5.305328571428571
Marine Johannes,NYL,G,3.027027027027027,8.108108108108109,11.452886866059819,14.146832379713917
Flau'jae Johnson,SEA,G,3.9605263157894735,12.44736842105263,13.032044817927174,15.93022586367881
Raven Johnson,IND,G,1.0142857142857142,3.5428571428571427,7.844321329639888,7.9989831024930735
Brionna Jones,ATL,F,6.277777777777778,12.11111111111111,20.908684210526317,21.32811052631579
Jonquel Jones,NYL,C,10.846153846153845,19.153846153846153,19.23649233543733,21.270721460775473
Dorka Juhász,MIN,F,3.0294117647058822,5.117647058823529,10.460448979591838,13.063267346938776
Laura Juškaitė,TOR,F,3.8875,10.65,11.395305917753259,11.067957171514545
Teonni Key,TOR,F,1.0857142857142856,2.571428571428571,7.423885714285714,5.738442857142856
Liatu King,MIN,F,2.2777777777777777,3.7777777777777777,12.919054054054055,10.971062162162166
Gianna Kneepkens,CON,G,0.46875,2.65625,7.531978798586572,5.465260424028269
Sika Koné,ATL,F,0.109375,1.34375,5.324750000000001,1.5444000000000002
Anastasiia Kosu,MIN,F,2.1333333333333333,4.566666666666666,15.275504885993485,15.339323452768733
Awak Kuier,DAL,F,4.5675675675675675,7.621621621621622,14.02352671755725,15.598319847328241
Leïla Lacan,CON,G,2.4074074074074074,10.925925925925926,11.899843342036553,13.941667624020887
Charlisse Leger-Walker,CON,G,1.9500000000000002,7.75,8.3570656779661,8.781834322033898
Carla Leite,POR,G,3.6805555555555554,15.25,18.05118971061093,19.48371243301179
Kyara Linskens,PHO,C,1.7105263157894737,3.631578947368421,9.903069306930696,8.426870297029707
Darianna Littlepage-Buggs,WAS,G-F,-0.3333333333333333,-0.3333333333333333,-11.18,-9.431099999999999
Jewell Loyd,LVA,G,2.0921052631578947,6.789473684210526,7.450250000000001,7.660150000000001
Marina Mabrey,TOR,G,4.984375,16.46875,17.726959745762713,22.34002288135593
Natasha Mack,PHO,F-C,8.390625,13.625,18.77618846694796,20.588914064697608
Ezi Magbegor,SEA,F-C,3.6071428571428568,8.214285714285714,11.101818181818183,11.706242657342658
Taina Mair,SEA,G,-0.611111111111111,0.4444444444444444,0.6582608695652199,-0.25023043478260837
Dominique Malonga,SEA,C,8.483870967741936,17.806451612903224,20.080243902439022,25.59772926829268
Morgan Maly,CHI,F,0.0,0.0,0.68,0.3289
Rayah Marshall,CON,C-F,0.0,1.0,5.510370370370372,5.709270370370369
Kate Martin,LAS,G,1.0588235294117647,2.411764705882353,9.933750000000002,9.29881666666667
Kayla McBride,MIN,G,7.25,16.6,17.629930928626244,21.512936838066
Teaira McCowan,MIN,C,1.1,2.5,4.58779411764706,-2.015511764705882
Cotie McMahon,WAS,G,1.9868421052631577,6.184210526315789,7.956751336898397,7.714755614973263
Jade Melbourne,SEA,G,2.705128205128205,10.076923076923077,11.479662576687119,10.850362167689164
Olivia Miles,MIN,G,7.81578947368421,20.710526315789473,20.395906382978726,24.444925531914897
Nikolina Milic,TOR,C,0.2857142857142857,2.4285714285714284,5.2628571428571425,5.730328571428572
Diamond Miller,CON,F,0.675,6.825,7.451949058693244,6.642033997785161
Kelsey Mitchell,IND,G,6.5,19.650000000000002,21.386727549467274,27.310840639269404
Tonie Morgan,LAS,G,1.1875,5.25,8.771355932203392,7.602798305084747
Ndjakalenga Mwenentanda,GSV,G,0.1,0.4,1.5500000000000007,-0.7864846153846154
Olivia Nelson-Ododa,CON,C,6.34375,12.6875,17.038494152046784,17.120566666666665
Indya Nivar,ATL,G,0.375,0.9500000000000001,5.720491803278692,0.9592278688524598
Jovana Nogić,PHO,G,1.6875,7.6875,12.241857585139321,12.945370588235297
Kia Nurse,TOR,G,1.1282051282051282,4.384615384615384,9.60099811676083,10.005660828625237
Aaliyah Nye,ATL,G-F,0.23684210526315788,0.5789473684210527,9.308372093023253,12.992853488372093
Teja Oblak,POR,G,0.6379310344827586,5.275862068965517,8.937422680412372,11.35856494845361
Arike Ogunbowale,DAL,G,3.825,13.025,13.922156040268458,16.60380771812081
Nneka Ogwumike,LAS,F,11.666666666666666,21.538461538461537,20.11312913907285,25.861921523178808
Madina Okot,ATL,C,2.833333333333333,6.128205128205128,17.72268156424581,18.754291061452516
Lucy Olsen,WAS,G,0.5,2.526315789473684,8.903913043478264,8.33324782608696
Michaela Onyenwere,WAS,F,2.375,8.0,9.626732891832232,9.714805077262692
Ugonne Onyiah,IND,F-C,0.0,0.0,0.68,0.3289
Te-Hina PaoPao,ATL,G,0.3709677419354839,2.935483870967742,6.8201729106628255,7.25596051873199
Cheyenne Parker-Tyus,LVA,F,3.2777777777777777,6.481481481481481,19.114705882352943,17.77294844290658
Jihyun Park,LAS,G,0.7424242424242424,2.3636363636363638,6.908200000000003,5.072766666666669
Alissa Pili,LAS,F,0.7000000000000001,2.4000000000000004,4.817,2.6211499999999988
Justine Pissott,LVA,G-F,0.7777777777777777,3.1111111111111107,8.827976190476193,9.101757142857144
Tima Pouye,TOR,G,-0.15789473684210525,2.526315789473684,5.562528089887641,2.1230011235955053
Ashten Prechtel,GSV,F,0.7000000000000001,2.6,5.022500000000001,-2.563099999999999
Cassandre Prosper,WAS,G,-0.7428571428571429,1.1142857142857143,1.2485386819484257,-2.006085673352434
Nyadiew Puoch,POR,F,0.8974358974358974,3.871794871794872,5.684092888243832,4.079117706821481
JJ Quinerly,DAL,G,0.75,1.5,9.936666666666667,14.7089
Angel Reese,ATL,F,10.91025641025641,20.974358974358974,19.181974004874085,21.054334606011373
Kiki Rice,TOR,G,4.854166666666666,13.458333333333332,15.238435054773083,15.498821752738655
Saniya Rivers,CON,G,1.2916666666666665,6.444444444444444,8.431126070991434,10.51171517747858
Mercedes Russell,IND,C,0.7000000000000001,2.4000000000000004,7.603235294117648,-1.739335294117645
Nyara Sabally,TOR,F,6.645833333333333,13.666666666666666,18.276806282722514,20.436997731239092
Satou Sabally,NYL,F,2.6153846153846154,9.076923076923077,14.107201834862387,14.80550550458716
Janelle Salaün,GSV,F,5.078947368421052,11.710526315789473,16.403180212014135,19.20362320376914
Karlie Samuelson,POR,G,1.857142857142857,4.714285714285714,9.444883177570095,8.230371962616822
Katie Lou Samuelson,SEA,G,2.796875,5.34375,10.474541751527493,11.563115885947047
Jacy Sheldon,CHI,G,1.3250000000000002,5.925000000000001,8.457339782345828,7.626215598548972
Jessica Shepard,DAL,F,13.855263157894736,23.94736842105263,20.641462809917353,24.46589173553719
Jaylyn Sherrod,ATL,G,0.75,2.8000000000000003,10.20774647887324,7.872421126760564
Maddy Siegrist,DAL,F,3.5135135135135136,7.297297297297297,15.818045540796968,17.838767172675524
Odyssey Sims,DAL,G,0.6774193548387096,4.32258064516129,8.20540838852097,9.013756512141283
Kamiah Smalls,POR,G,1.25,6.0,12.16,15.797566666666667
Alanna Smith,DAL,F,3.359375,7.375,10.782587412587413,10.5600013986014
NaLyssa Smith,LVA,F,7.7368421052631575,14.526315789473683,18.20558918918919,19.555872972972974
Miela Sowah,GSV,G,-0.8333333333333333,-0.5,-12.125500000000002,-12.204600000000001
Azura Stevens,CHI,F-C,5.709677419354839,12.64516129032258,13.343630406290957,14.91793014416776
Breanna Stewart,NYL,F,10.615384615384615,21.94871794871795,21.33980574980575,25.82092797202797
Kiah Stokes,GSV,C,5.884615384615384,8.23076923076923,10.784701754385965,10.090747953216377
Marta Suárez,PHO,F,0.5666666666666667,3.2666666666666666,8.559705882352944,5.758238235294118
Brittney Sykes,TOR,G,4.323529411764706,15.470588235294118,17.60388,20.99568
Stephanie Talbot,LVA,F,2.475,5.050000000000001,8.139245562130178,7.592790532544377
Sydney Taylor,CHI,G,1.803030303030303,9.545454545454545,15.092805970149263,18.684661194029854
Taylor Thierry,SEA,G-F,1.2307692307692308,2.0,10.64,10.121107792207793
Alyssa Thomas,PHO,F,9.907894736842104,21.57894736842105,17.780471327572666,20.532576355066777
Kayla Thornton,GSV,F,4.2,8.525,10.053748701973003,10.756926998961582
Makayla Timpson,IND,F-C,5.538461538461538,8.948717948717949,13.730626666666668,13.971566666666668
Brianna Turner,LVA,F-C,1.8513513513513515,3.2432432432432434,5.857322175732217,4.03450669456067
Courtney Vandersloot,CHI,G,4.608695652173913,11.608695652173912,15.621541501976285,18.031963241106723
Hailey Van Lith,CON,G,1.394736842105263,5.263157894736842,10.380381944444446,12.370497222222225
Julie Vanloo,NYL,G,3.6,9.600000000000001,14.162222222222223,12.811616049382717
Costanza Verona,DAL,G,3.0,6.0,35.04333333333333,46.28889999999999
Erica Wheeler,LAS,G,2.269230769230769,9.948717948717949,9.763178368121443,10.479516698292223
Sami Whitcomb,PHO,G,1.2352941176470589,5.0,7.539039145907473,7.257476512455515
Christyn Williams,DAL,G,-1.0,-1.0,-7.965999999999999,-8.055099999999998
Courtney Williams,MIN,G,5.9743589743589745,15.538461538461538,14.574278523489932,19.579554362416108
Elizabeth Williams,CHI,C-F,3.1125000000000003,5.95,11.901099236641222,13.787724427480915
Gabby Williams,GSV,F,4.0,11.513513513513514,15.35372955288986,21.173523773173393
Peyton Williams,PHO,F,0.5,1.0,10.983333333333333,14.432233333333334
Serah Williams,POR,F,2.357142857142857,5.228571428571429,11.400719101123597,10.166765168539328
A'ja Wilson,LVA,C,14.621621621621623,28.10810810810811,29.333966244725744,36.7222164556962
Ally Wilson,WAS,G,-0.25,2.0,3.7681034482758644,2.1833827586206906
Holly Winterburn,POR,G,1.074074074074074,3.9259259259259256,10.058848920863309,11.416094244604315
Han Xu,NYL,C,3.85,7.075,17.16853046594982,21.12936594982079
Mai Yamamoto,LVA,G,2.4000000000000004,6.0,13.510065789473684,15.633636842105265
Jackie Young,LVA,G,8.576923076923077,20.974358974358974,19.98516640253566,24.857695562599055
Li Yueru,DAL,C,1.8448275862068966,3.9655172413793105,9.87591973244147,7.094786287625419
Cecilia Zandalasini,GSV,F,1.6857142857142857,7.114285714285714,10.37734328358209,12.946422388059702
Laura Ziegler,LAS,F,1.0,3.333333333333333,9.583103448275862,6.528210344827587
