Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Monique Akoa Makani,G,1.654,7.5,9.13,8.091
Chloe Bibby,F,0.286,2.714,8.409,11.059
DeWanna Bonner,F-G,7.026,12.711,13.819,16.125
Lexi Held,G,0.789,4.053,8.017,9.199
Haley Jones,F-G,1.375,4.0,11.84,12.05
Betnijah Laney-Hamilton,G-F,1.288,4.846,6.998,6.891
Ta'Niya Latson,G,0.5,2.059,10.369,10.142
Anneli Maley,F,-0.167,0.889,0.994,-5.758
Aneesah Morrow,F,7.167,13.333,16.377,20.053
Amy Okonkwo,F,0.875,3.0,12.746,13.624
Kelsey Plum,G,5.824,19.235,20.042,23.595
Saylor Poffenbarger,F,0.0,0.5,-2.606,-6.745
Sug Sutton,G,1.1,3.92,10.404,12.293
Grace VanSlooten,F,1.056,1.833,12.979,12.649
Shatori Walker-Kimbrough,G,0.875,1.667,19.391,21.485
Maddy Westbeld,F,0.5,3.167,4.002,-0.801
Kiana Williams,G,-0.292,2.417,5.073,6.332
Kayla Alexander,C,1.875,3.5,8.361,7.158
Julie Allemand,G,6.483,12.517,12.36,13.023
Rebecca Allen,F-G,2.64,6.0,9.357,9.105
Laeticia Amihere,F,2.871,5.114,13.503,12.731
Georgia Amoore,G,0.25,5.625,5.509,5.07
Nell Angloma,F,1.111,3.944,10.037,8.539
Pauline Astier,G,3.65,10.975,13.273,12.896
Ariel Atkins,G,2.882,9.289,9.77,9.684
Shakira Austin,C,9.603,18.538,18.389,23.211
Valeriane Ayayi,F,2.364,6.455,10.9,8.403
Rachel Banham,G,0.806,3.694,7.357,8.5
Ornella Bankole,F,1.5,4.9,8.21,2.426
Sarah Ashlee Barker,G,5.269,12.0,13.194,15.491
Raegan Beers,F,2.029,5.176,10.299,4.966
Kierstan Bell,F,0.577,2.0,4.611,4.072
Lauren Betts,C,5.2,8.925,15.841,18.089
Monique Billings,F,5.538,9.923,15.339,14.787
Isobel Borlase,G,0.95,4.1,8.297,9.027
Aliyah Boston,C-F,10.889,20.944,22.644,26.579
Cameron Brink,F,4.367,10.1,15.334,14.416
Noémie Brochant,F-G,2.974,7.026,9.38,10.873
Lexie Brown,G,1.65,4.2,7.401,6.689
Paige Bueckers,G,7.974,21.105,20.115,25.467
Frieda Bühner,F-C,1.9,5.629,10.804,11.498
Kennedy Burke,G-F,3.514,8.054,11.65,14.341
Rae Burrell,G-F,3.487,11.385,13.45,17.427
Veronica Burton,G,6.7,15.85,17.863,19.345
Maya Caldwell,G,1.975,4.65,9.653,9.831
Jordin Canada,G,6.359,16.103,15.154,16.176
Emma Cannon,F,1.0,3.312,12.521,8.793
Kamilla Cardoso,C,10.038,19.077,21.916,24.02
Bridget Carleton,F,6.41,13.974,14.392,17.56
Raquel Carrera Quintana,C,0.955,2.0,9.282,6.521
DiJonai Carrington,G-F,0.864,5.727,9.428,10.591
Chennedy Carter,G,4.0,11.077,21.971,25.053
Sha Carter,F,-0.077,0.923,3.451,-0.906
Emma Čechová,C,2.667,8.0,12.429,9.319
Kaila Charles,G-F,3.888,8.25,11.139,10.883
Kaitlyn Chen,G,1.675,6.175,12.585,15.958
Shay Ciezki,G,2.5,6.75,15.937,16.202
Sonia Citron,G,6.703,16.946,17.018,19.686
Alysha Clark,F,0.944,3.037,5.074,0.364
Caitlin Clark,G,6.681,21.472,20.419,24.333
Natasha Cloud,G,5.487,14.154,13.928,14.171
Nia Coffey,F,5.738,9.575,12.447,13.451
Napheesa Collier,F,10.375,20.0,20.46,26.092
Maria Conde,F,3.742,9.515,8.863,10.529
Zia Cooke,G,0.288,4.65,9.075,11.283
Kahleah Copper,G-F,3.461,14.789,14.362,18.053
Aicha Coulibaly,G,2.679,5.929,12.134,10.741
Sophie Cunningham,G,3.872,8.564,11.504,11.695
Damiris Dantas,C-F,0.542,2.833,6.643,2.297
Antonia Delaere,G,1.351,3.486,9.005,8.977
Skylar Diggins,G,4.158,13.263,14.801,17.537
Stefanie Dolson,C,2.025,4.8,7.464,4.195
Angela Dugalić,F,1.882,3.824,9.864,10.356
Kara Dunn,G,2.0,7.0,12.488,12.912
Aaliyah Edwards,F,4.577,11.077,16.268,18.842
Emily Engstler,F,6.588,12.6,15.347,16.901
Dana Evans,G,-0.545,2.182,1.435,2.921
Temi Fagbenle,C,2.783,6.609,9.852,9.149
Awa Fam,C,6.0,12.091,12.918,15.022
Mariella Fasoula,C,0.0,1.333,5.272,-0.998
Marine Fauthoux,G,1.5,4.278,7.457,7.96
Sania Feagin,F,-0.167,0.667,-1.433,-13.551
Leonie Fiebich,F,4.147,10.353,10.857,11.674
Nadia Fingall,C,0.944,1.667,18.224,21.431
Alicia Flórez,G,0.177,3.097,5.434,4.424
Alex Fowler,F,-2.75,2.5,0.405,-8.508
Azzi Fudd,G,3.883,10.967,12.632,16.425
Rebekah Gardner,G,3.118,6.974,14.023,14.191
Luisa Geiselsöder,C,0.976,4.476,5.265,3.105
Allisha Gray,G,5.588,16.25,16.594,19.643
Chelsea Gray,G,5.449,14.795,13.005,15.739
Chance Gray,G,1.0,2.973,7.055,7.477
Zaay Green,G,-0.333,1.333,1.716,1.739
Aubrey Griffin,G-F,0.125,0.5,2.948,1.593
Brittney Griner,C,6.528,14.222,18.541,22.491
Megan DiLeo,C,6.184,13.421,17.991,21.233
Bree Hall,G,0.5,1.0,12.691,21.363
Dearica Hamby,F,8.7,17.6,18.142,20.603
Eliška Hamzová,G,1.0,2.619,12.989,9.577
Rori Harmon,G,-0.042,1.333,1.257,-3.492
Isabelle Harrison,F,5.768,12.893,15.872,18.763
Jordan Harrison,G,1.667,6.667,12.89,10.939
Tyasha Harris,G,1.8,5.0,10.566,11.094
Tiffany Hayes,G,3.158,9.132,17.227,17.995
Natisha Hiedeman,G,4.694,14.444,15.085,19.483
Naz Hillmon,F,4.744,10.231,10.166,11.666
Myisha Hines-Allen,F,2.662,5.853,9.395,7.252
Emese Hof,C,-0.333,2.0,0.906,-5.515
Joyner Holmes,F,2.5,3.0,6.299,9.703
Mackenzie Holmes,F,3.1,5.08,13.849,11.366
Jordan Horston,F,2.786,6.086,9.307,9.814
Natasha Howard,F,10.012,19.8,21.315,24.255
Rhyne Howard,G,7.59,17.692,17.616,20.82
Lexie Hull,G,2.525,6.35,8.122,6.043
Sabrina Ionescu,G,4.352,13.815,13.502,17.525
Kiki Iriafen,F,9.081,17.919,17.873,20.46
Ashlon Jackson,G,0.1,1.533,3.086,4.095
Rickea Jackson,F,4.25,13.0,15.588,20.821
Aziaha James,G,2.043,5.943,15.084,17.07
Gabriela Jaquez,G,2.371,6.343,9.243,10.689
Justė Jocytė,G-F,-0.321,1.143,3.407,5.305
Marine Johannes,G,3.027,8.108,11.453,14.147
Flau'jae Johnson,G,3.961,12.447,13.032,15.93
Raven Johnson,G,1.014,3.543,7.844,7.999
Brionna Jones,F,6.278,12.111,20.909,21.328
Jonquel Jones,C,10.846,19.154,19.236,21.271
Dorka Juhász,F,3.029,5.118,10.46,13.063
Laura Juškaitė,F,3.888,10.65,11.395,11.068
Teonni Key,F,1.086,2.571,7.424,5.738
Liatu King,F,2.278,3.778,12.919,10.971
Gianna Kneepkens,G,0.469,2.656,7.532,5.465
Sika Koné,F,0.109,1.344,5.325,1.544
Anastasiia Kosu,F,2.133,4.567,15.276,15.339
Awak Kuier,F,4.568,7.622,14.024,15.598
Leïla Lacan,G,2.407,10.926,11.9,13.942
Charlisse Leger-Walker,G,1.95,7.75,8.357,8.782
Carla Leite,G,3.681,15.25,18.051,19.484
Kyara Linskens,C,1.711,3.632,9.903,8.427
Darianna Littlepage-Buggs,G-F,-0.333,-0.333,-11.18,-9.431
Jewell Loyd,G,2.092,6.789,7.45,7.66
Marina Mabrey,G,4.984,16.469,17.727,22.34
Natasha Mack,F-C,8.391,13.625,18.776,20.589
Ezi Magbegor,F-C,3.607,8.214,11.102,11.706
Taina Mair,G,-0.611,0.444,0.658,-0.25
Dominique Malonga,C,8.484,17.806,20.08,25.598
Morgan Maly,F,0.0,0.0,0.68,0.329
Rayah Marshall,C-F,0.0,1.0,5.51,5.709
Kate Martin,G,1.059,2.412,9.934,9.299
Kayla McBride,G,7.25,16.6,17.63,21.513
Teaira McCowan,C,1.1,2.5,4.588,-2.016
Cotie McMahon,G,1.987,6.184,7.957,7.715
Jade Melbourne,G,2.705,10.077,11.48,10.85
Olivia Miles,G,7.816,20.711,20.396,24.445
Nikolina Milic,C,0.286,2.429,5.263,5.73
Diamond Miller,F,0.675,6.825,7.452,6.642
Kelsey Mitchell,G,6.5,19.65,21.387,27.311
Tonie Morgan,G,1.188,5.25,8.771,7.603
Ndjakalenga Mwenentanda,G,0.1,0.4,1.55,-0.786
Olivia Nelson-Ododa,C,6.344,12.688,17.038,17.121
Indya Nivar,G,0.375,0.95,5.72,0.959
Jovana Nogić,G,1.688,7.688,12.242,12.945
Kia Nurse,G,1.128,4.385,9.601,10.006
Aaliyah Nye,G-F,0.237,0.579,9.308,12.993
Teja Oblak,G,0.638,5.276,8.937,11.359
Arike Ogunbowale,G,3.825,13.025,13.922,16.604
Nneka Ogwumike,F,11.667,21.538,20.113,25.862
Madina Okot,C,2.833,6.128,17.723,18.754
Lucy Olsen,G,0.5,2.526,8.904,8.333
Michaela Onyenwere,F,2.375,8.0,9.627,9.715
Ugonne Onyiah,F-C,0.0,0.0,0.68,0.329
Te-Hina PaoPao,G,0.371,2.935,6.82,7.256
