Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Kate Martin,G,1.676,5.135,8.146,10.724
Kayla McBride,G,5.571,13.943,14.741,18.386
Megan McConnell,G,2.0,5.0,13.61,15.065
Teaira McCowan,C,4.676,7.882,18.618,20.401
Aari McDonald,G,3.3,10.85,11.845,12.617
Emma Meesseman,F,8.5,17.0,19.41,24.47
Jade Melbourne,G,1.038,6.0,6.251,5.422
Kelsey Mitchell,G,3.838,14.825,16.427,21.923
Aneesah Morrow,F,5.222,9.639,13.665,15.197
Murjanatu Musa,C,1.958,4.333,12.708,12.343
Olivia Nelson-Ododa,C,5.392,10.135,14.996,15.588
Kia Nurse,G,1.051,5.205,5.964,6.951
Aaliyah Nye,G-F,0.725,2.975,5.271,5.592
Arike Ogunbowale,G,2.259,12.276,11.54,14.01
Nneka Ogwumike,F,9.537,19.561,19.047,25.091
Amy Okonkwo,F,5.5,11.75,20.815,25.615
Lucy Olsen,G,0.921,3.737,8.495,9.775
Michaela Onyenwere,F,0.365,3.865,5.728,6.167
Te-Hina PaoPao,G,2.513,6.342,11.568,14.658
Robyn Parks,F,0.75,1.667,1.313,-2.613
Haley Peters,F-G,0.879,2.862,4.266,1.874
Kelsey Plum,G,5.581,18.378,15.991,18.474
Alexis Prince,F,4.0,6.0,-1.091,-1.123
JJ Quinerly,G,1.676,6.588,11.454,11.89
Angel Reese,F,11.19,20.897,17.365,18.984
Saniya Rivers,G,3.554,8.73,11.501,14.231
Iliana Rupert,C,4.844,10.25,13.44,14.587
Mercedes Russell,C,1.075,2.45,8.915,7.378
Nyara Sabally,C,4.533,8.267,12.624,12.485
Satou Sabally,F,5.618,15.294,16.592,19.048
Janelle Salaün,F,3.935,9.968,9.806,12.506
Karlie Samuelson,G,0.938,3.5,5.847,3.242
Madison Scott,G-F,0.0,1.429,7.349,5.618
Jessica Shepard,F,8.314,13.457,18.209,21.253
Maddy Siegrist,F,5.864,12.409,16.165,20.199
Kamiah Smalls,G,0.0,0.0,0.68,0.329
Alanna Smith,F,7.211,12.842,15.798,18.207
Azura Stevens,F-C,10.461,17.895,18.818,22.238
Breanna Stewart,F,9.019,19.296,20.263,24.488
Kiah Stokes,C,3.347,4.556,6.606,4.284
Serena Sundell,G,-1.0,0.0,-7.295,-19.66
Sug Sutton,G,2.288,7.95,8.672,10.749
Camryn Taylor,F,0.25,0.5,-1.77,-16.431
Taylor Thierry,G-F,0.147,0.294,4.746,7.089
Alyssa Thomas,F,12.735,25.441,22.338,26.851
Kayla Thornton,F,5.955,13.545,12.873,15.377
Makayla Timpson,F-C,2.232,3.75,15.212,15.692
Mamignan Touré,G,0.0,1.462,6.017,4.528
Brianna Turner,F-C,1.109,1.957,6.419,4.795
Maria Kliundikova,F,3.138,5.586,17.965,20.801
Courtney Vandersloot,G,4.357,12.571,13.135,16.36
Hailey Van Lith,G,-0.069,2.552,4.886,6.595
Shatori Walker-Kimbrough,G,1.028,2.278,7.306,7.707
Kathryn Westbeld,F,2.618,5.658,9.578,10.882
Maddy Westbeld,F,0.976,3.19,6.327,5.483
Erica Wheeler,G,2.976,10.024,11.095,13.14
Sami Whitcomb,G,2.882,8.526,9.662,11.288
Christyn Williams,G,-1.0,1.0,1.618,1.621
Courtney Williams,G,6.141,16.205,15.705,21.094
Elizabeth Williams,C-F,5.0,9.974,15.064,19.388
Gabby Williams,F,6.744,14.585,14.242,18.366
Kiana Williams,G,1.444,3.333,11.382,15.584
A'ja Wilson,C,13.958,26.25,28.019,34.679
Jackie Young,G,6.888,17.55,18.026,21.645
Cecilia Zandalasini,F,5.265,11.471,14.065,16.402
