Player,Season,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Alexis Prince,2025,F,4.0,6.0,-1.091,-1.123
JJ Quinerly,2025,G,1.676,6.588,11.454,11.89
Angel Reese,2025,F,11.233,21.033,17.63,19.102
Saniya Rivers,2025,G,3.622,8.927,11.62,14.558
Iliana Rupert,2025,C,5.053,10.368,13.374,14.851
Mercedes Russell,2025,C,1.075,2.45,8.915,7.378
Nyara Sabally,2025,C,4.533,8.267,12.624,12.485
Satou Sabally,2025,F,5.568,15.0,16.299,18.663
Janelle Salaün,2025,F,4.015,10.176,9.856,12.495
Karlie Samuelson,2025,G,0.938,3.5,5.847,3.242
Madison Scott,2025,G-F,-0.125,1.25,5.92,2.426
Jessica Shepard,2025,F,8.395,13.5,18.101,21.227
Maddy Siegrist,2025,F,5.44,12.04,15.439,19.571
Kamiah Smalls,2025,G,0.0,0.0,0.68,0.329
Alanna Smith,2025,F,7.038,12.775,15.627,17.874
Azura Stevens,2025,F-C,10.167,17.238,18.041,21.326
Breanna Stewart,2025,F,8.931,19.207,20.262,24.189
Kiah Stokes,2025,C,3.25,4.421,6.773,4.672
Serena Sundell,2025,G,-1.333,-0.667,-8.19,-15.808
Sug Sutton,2025,G,2.25,7.929,8.556,10.625
Camryn Taylor,2025,F,0.0,0.25,-6.276,-15.942
Taylor Thierry,2025,G-F,0.147,0.294,4.746,7.089
Alyssa Thomas,2025,F,12.459,25.162,21.788,26.384
Kayla Thornton,2025,F,5.955,13.545,12.873,15.377
Makayla Timpson,2025,F-C,2.183,3.7,15.781,16.432
Mamignan Touré,2025,G,-0.265,1.235,3.459,1.899
Brianna Turner,2025,F-C,1.25,2.269,6.724,5.113
Maria Kliundikova,2025,F,3.156,5.562,17.254,19.619
Courtney Vandersloot,2025,G,4.357,12.571,13.135,16.36
Hailey Van Lith,2025,G,-0.069,2.552,4.886,6.595
Shatori Walker-Kimbrough,2025,G,0.962,2.1,6.867,7.158
Kathryn Westbeld,2025,F,2.439,5.366,9.155,10.179
Maddy Westbeld,2025,F,0.938,3.25,6.168,5.639
Erica Wheeler,2025,G,3.035,10.023,11.183,13.174
Sami Whitcomb,2025,G,3.073,8.878,10.144,11.51
Christyn Williams,2025,G,0.333,3.333,7.945,9.231
Courtney Williams,2025,G,6.107,16.214,15.603,21.094
Elizabeth Williams,2025,C-F,5.202,10.286,15.258,19.645
Gabby Williams,2025,F,6.488,14.256,13.808,17.795
Kiana Williams,2025,G,1.444,3.333,11.382,15.584
A'ja Wilson,2025,C,14.461,26.868,28.751,35.689
Jackie Young,2025,G,7.19,17.929,18.437,22.274
Cecilia Zandalasini,2025,F,5.265,11.471,14.065,16.402
