"Player","Pos","WinScore","Efficiency","NBAPER","WNBAPER"
"Arike Ogunbowale","G",5.829,19.105,15.705,19.878
"Nneka Ogwumike","F",10.5,20.324,19.736,24.741
"Michaela Onyenwere","F",0.588,4.618,6.995,8.151
"Charisma Osborne","G",-0.5,0.5,-2.884,-3.015
"Cheyenne Parker-Tyus","F",3.68,9.84,13.042,13.979
"Alissa Pili","F",0.205,1.818,4.058,0.83
"Kelsey Plum","G",3.382,14.079,12.488,15.772
"Aerial Powers","G",2.176,7.412,11.91,13.396
"Angel Reese","F",10.265,18.765,15.72,17.062
"DiDi Richards","G-F",0.737,2.368,6.279,7.355
"Mercedes Russell","C",3.041,5.703,9.865,10.78
"Nyara Sabally","C",5.096,8.038,18.72,19.339
"Satou Sabally","F",8.1,19.133,16.467,19.054
"Karlie Samuelson","G",3.931,9.103,11.317,12.661
"Katie Lou Samuelson","F",2.243,5.216,7.759,7.563
"Victaria Saxton","F",-0.222,0.333,-0.384,-2.629
"Jacy Sheldon","G",1.012,5.675,5.983,5.172
"Jaylyn Sherrod","G",0.7,1.8,18.265,21.107
"Maddy Siegrist","F",4.093,9.37,13.586,17.606
"Alanna Smith","F",7.026,13.641,15.705,17.05
"NaLyssa Smith","F",6.45,12.225,13.994,16.051
"Stephanie Soares","C",1.182,2.136,5.993,5.192
"Taylor Soule","F",0.0,0.0,-11.47,-11.314
"Azura Stevens","F-C",6.5,11.95,12.319,15.184
"Breanna Stewart","F",11.921,23.237,22.814,27.683
"Kiah Stokes","C",4.487,5.846,6.863,4.529
"Brittney Sykes","G",3.278,10.611,13.103,18.017
"Stephanie Talbot","F",2.608,5.568,8.94,9.035
"Diana Taurasi","G",4.333,13.194,13.211,15.519
"Alyssa Thomas","F",10.1,19.5,16.393,18.837
"Kayla Thornton","F",2.6,5.675,8.837,9.949
"Brianna Turner","F-C",1.981,3.037,8.196,6.512
"Sevgi Uzun","G",0.712,4.7,5.497,6.324
"Courtney Vandersloot","G",3.387,9.065,11.216,13.139
"Julie Vanloo","G",0.162,6.1,5.418,6.792
"Victoria Vivians","G-F",1.186,3.314,6.411,6.77
"Shatori Walker-Kimbrough","G",2.4,6.75,10.385,13.16
"Kristy Wallace","G",2.192,5.423,9.535,11.242
"Erica Wheeler","G",1.115,4.128,7.345,8.32
"Sami Whitcomb","G",1.475,4.75,8.394,10.031
"Courtney Williams","G",4.75,13.45,12.956,17.513
"Elizabeth Williams","C-F",7.778,13.333,16.417,19.626
"Gabby Williams","F",6.208,13.333,13.808,16.851
"Kiana Williams","G",-0.308,0.308,0.882,2.585
"A'ja Wilson","C",17.658,31.026,30.165,38.599
"Jackie Young","G",6.176,16.676,15.189,18.154
"Li Yueru","C",2.921,6.553,12.066,10.353
"Cecilia Zandalasini","F",1.225,4.1,9.462,10.136
