"Player","Pos","WinScore","Efficiency","NBAPER","WNBAPER"
"Alanna Smith","F",7.539,13.158,14.83,15.435
"NaLyssa Smith","F",6.919,15.742,13.57,16.884
"Taylor Soule","F",-0.4,0.067,-1.936,-4.712
"Azura Stevens","F-C",4.757,10.857,12.014,14.834
"Breanna Stewart","F",13.962,26.0,24.818,30.938
"Kiah Stokes","C",5.825,7.4,9.109,7.752
"Sug Sutton","G",1.7,8.4,8.016,10.516
"Brittney Sykes","G",6.225,16.275,15.631,18.646
"Diana Taurasi","G",3.904,13.692,14.196,16.772
"Alyssa Thomas","F",11.4,23.55,17.568,20.835
"Jasmine Thomas","G",0.047,2.125,4.184,4.957
"Sam Thomas","G-F",-1.5,-1.0,-6.457,-9.566
"Kayla Thornton","F",3.688,6.55,10.758,10.593
"Kristi Toliver","G",0.182,2.273,6.541,8.28
"Kayana Traylor","G",-0.5,0.5,1.93,-0.354
"Brianna Turner","F-C",6.638,9.5,8.903,8.214
"Yvonne Turner","G",1.095,2.952,8.552,8.884
"Courtney Vandersloot","G",5.769,15.077,14.295,17.331
"Victoria Vivians","G-F",2.513,6.158,8.245,8.211
"Shatori Walker-Kimbrough","G",3.113,7.05,8.986,10.178
"Kristy Wallace","G",1.676,6.081,8.535,10.24
"Erica Wheeler","G",3.025,11.125,11.053,12.665
"Sami Whitcomb","G",3.475,9.3,11.024,13.255
"Courtney Williams","G",6.962,15.225,13.044,17.132
"Elizabeth Williams","C-F",6.938,13.15,14.775,17.098
"Gabby Williams","F",2.4,8.9,9.122,11.745
"Madi Williams","G-F",-1.2,0.4,-1.644,-1.673
"Jocelyn Willoughby","F-G",0.586,1.586,5.889,4.23
"A'ja Wilson","C",14.388,25.75,28.506,34.974
"Han Xu","C",-0.562,0.25,-0.105,6.299
"Jackie Young","G",8.513,18.8,19.129,23.291
