"Player","Team","Pos","G","MP","G.1","GS","MP.1","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Lindsay Allen","CHI","G","40","950","40","28","950","104","223",".466","14","48",".292","90","175",".514","42","52",".808","13","80","157","32","7","64","67","264"
"Rebecca Allen","PHO","F-G","18","447","18","18","447","53","126",".421","25","70",".357","28","56",".500","2","3",".667","13","71","20","17","12","18","35","133"
"Laeticia Amihere","ATL","F","16","83","16","0","83","7","26",".269","0","0","","7","26",".269","5","17",".294","12","27","3","2","3","8","7","19"
"Ariel Atkins","WAS","G","40","1196","40","40","1196","217","497",".437","79","221",".357","138","276",".500","84","99",".848","36","135","124","59","17","92","112","597"
"Amy Atwell","PHO","F","6","59","6","0","59","4","15",".267","3","13",".231","1","2",".500","4","5",".800","3","6","6","0","1","2","3","15"
"Shakira Austin","WAS","C-F","12","238","12","11","238","52","121",".430","1","4",".250","51","117",".436","36","54",".667","21","82","11","15","11","29","30","141"
"Kierstan Bell","LVA","F","6","43","6","0","43","6","16",".375","4","8",".500","2","8",".250","1","2",".500","1","6","5","0","0","1","5","17"
"Grace Berger","IND","G","11","102","11","0","102","10","25",".400","2","5",".400","8","20",".400","9","14",".643","4","15","7","5","0","10","12","31"
"Caitlin Bickle","CON","F","8","15","8","0","15","0","3",".000","0","3",".000","0","0","","0","0","","0","0","0","0","0","0","1","0"
"DeWanna Bonner","CON","G-F","40","1271","40","39","1271","212","511",".415","58","197",".294","154","314",".490","119","143",".832","22","238","80","47","27","56","70","601"
"Aliyah Boston","IND","F-C","40","1236","40","40","1236","236","446",".529","7","26",".269","229","420",".545","81","110",".736","111","355","126","35","49","79","130","560"
"Cameron Brink","LAS","F","15","329","15","15","329","41","103",".398","10","31",".323","31","72",".431","21","25",".840","18","80","25","16","35","34","60","113"
"Jaelyn Brown","DAL","G-F","14","141","14","1","141","15","31",".484","6","12",".500","9","19",".474","1","3",".333","7","21","6","4","4","12","16","37"
"Jakia Brown-Turner","WAS","G","2","8","2","0","8","0","1",".000","0","0","","0","1",".000","2","2","1.000","0","1","0","1","0","0","0","2"
"Kalani Brown","DAL","C","39","516","39","2","516","92","158",".582","0","3",".000","92","155",".594","39","59",".661","43","119","41","7","22","48","63","223"
"Lexie Brown","LAS","G","16","379","16","8","379","42","131",".321","21","69",".304","21","62",".339","24","27",".889","1","37","53","17","2","31","22","129"
"Kennedy Burke","NYL","G-F","38","459","38","3","459","54","132",".409","15","58",".259","39","74",".527","8","12",".667","14","58","33","24","11","27","37","131"
"Rae Burrell","LAS","G-F","37","579","37","7","579","59","163",".362","24","72",".333","35","91",".385","78","100",".780","21","68","42","29","11","37","59","220"
"Veronica Burton","CON","G","31","393","31","1","393","26","72",".361","13","37",".351","13","35",".371","31","37",".838","13","44","58","14","7","15","32","96"
"Maya Caldwell","ATL","G","25","405","25","6","405","52","125",".416","15","50",".300","37","75",".493","12","15",".800","20","45","27","15","5","23","30","131"
"Jordin Canada","ATL","G","20","624","20","18","624","69","177",".390","16","57",".281","53","120",".442","57","73",".781","12","69","116","32","5","42","52","211"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Emma Cannon","LVA","F","5","9","5","0","9","2","3",".667","0","1",".000","2","2","1.000","0","0","","0","2","1","0","0","1","0","4"
"Kamilla Cardoso","CHI","C","32","876","32","29","876","126","242",".521","0","0","","126","242",".521","61","84",".726","96","254","54","17","46","49","101","313"
"Bridget Carleton","MIN","F","39","1164","39","36","1164","126","284",".444","91","205",".444","35","79",".443","30","38",".789","37","147","87","39","12","40","80","373"
"DiJonai Carrington","CON","G-F","39","1155","39","39","1155","173","429",".403","26","104",".250","147","325",".452","124","157",".790","53","196","61","61","17","74","100","496"
"Chennedy Carter","CHI","G","33","858","33","20","858","238","489",".487","9","31",".290","229","458",".500","92","126",".730","22","117","102","36","6","55","105","577"
"Jessika Carter","LVA","C","2","4","2","0","4","0","1",".000","0","0","","0","1",".000","0","2",".000","0","0","0","0","0","0","0","0"
"Tina Charles","ATL","C","39","1160","39","39","1160","243","533",".456","11","42",".262","232","491",".473","84","107",".785","97","374","89","36","20","61","96","581"
"Layshia Clarendon","LAS","G","21","335","21","12","335","32","75",".427","7","20",".350","25","55",".455","20","23",".870","6","38","54","15","1","25","44","91"
"Alysha Clark","LVA","F","40","972","40","18","972","85","192",".443","47","126",".373","38","66",".576","23","28",".821","21","145","70","33","11","55","107","240"
"Caitlin Clark","IND","G","40","1416","40","40","1416","242","580",".417","122","355",".344","120","225",".533","163","180",".906","14","227","337","53","27","223","111","769"
"Natasha Cloud","PHO","G","38","1265","38","38","1265","152","383",".397","44","143",".308","108","240",".450","90","109",".826","18","154","263","54","23","115","102","438"
"Nia Coffey","ATL","F","40","534","40","11","534","48","148",".324","18","66",".273","30","82",".366","16","21",".762","19","95","46","12","26","40","48","130"
"Napheesa Collier","MIN","F","34","1181","34","34","1181","268","545",".492","31","100",".310","237","445",".533","127","158",".804","76","330","115","65","48","70","87","694"
"Sydney Colson","LVA","G","31","248","31","1","248","27","64",".422","14","37",".378","13","27",".481","8","9",".889","1","14","30","15","5","14","23","76"
"Zia Cooke","LAS","G","29","257","29","0","257","36","112",".321","11","37",".297","25","75",".333","20","29",".690","3","18","17","9","3","21","22","103"
"Kahleah Copper","PHO","G-F","37","1197","37","37","1197","273","628",".435","69","220",".314","204","408",".500","167","207",".807","24","168","84","29","3","110","121","782"
"Lorela Cubaj","ATL","F-C","28","221","28","1","221","15","35",".429","0","0","","15","35",".429","3","5",".600","19","41","15","9","2","12","33","33"
"Sophie Cunningham","PHO","G","40","1109","40","21","1109","103","240",".429","68","180",".378","35","60",".583","60","69",".870","16","157","79","41","10","38","91","334"
"Damiris Dantas","IND","C-F","20","210","20","0","210","34","74",".459","13","33",".394","21","41",".512","8","12",".667","4","43","12","5","5","12","20","89"
"Kaela Davis","CHI","F","4","52","4","0","52","4","12",".333","2","2","1.000","2","10",".200","2","4",".500","1","4","1","1","2","4","5","12"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Marquesha Davis","NYL","G","20","80","20","0","80","9","22",".409","1","1","1.000","8","21",".381","5","7",".714","2","10","4","1","4","3","11","24"
"Diamond DeShields","CHI","G","32","441","32","10","441","56","161",".348","9","52",".173","47","109",".431","22","36",".611","7","46","43","20","8","29","52","143"
"Skylar Diggins","SEA","G","40","1262","40","40","1262","218","510",".427","39","134",".291","179","376",".476","130","150",".867","28","105","257","68","36","110","112","605"
"Liz Dixon","PHO","F","17","160","17","0","160","11","29",".379","0","0","","11","29",".379","8","10",".800","14","41","9","1","9","8","13","30"
"Ivana Dojkić","NYL","G","26","257","26","0","257","25","74",".338","16","42",".381","9","32",".281","21","27",".778","9","22","20","9","1","14","26","87"
"Stefanie Dolson","WAS","C","39","1013","39","39","1013","133","280",".475","72","155",".465","61","125",".488","33","42",".786","33","193","102","21","18","68","114","371"
"Aaliyah Edwards","WAS","F","34","741","34","17","741","103","210",".490","0","7",".000","103","203",".507","52","80",".650","48","191","48","25","27","50","91","258"
"Emily Engstler","WAS","F","32","464","32","3","464","76","154",".494","27","57",".474","49","97",".505","18","22",".818","44","128","47","19","24","22","49","197"
"Olivia Époupa","MIN","G","17","114","17","0","114","6","16",".375","0","0","","6","16",".375","2","2","1.000","6","19","26","14","0","15","13","14"
"Dana Evans","CHI","G","39","743","39","12","743","95","252",".377","41","109",".376","54","143",".378","48","50",".960","5","43","94","26","5","53","48","279"
"Temi Fagbenle","IND","C","22","415","22","2","415","58","114",".509","2","12",".167","56","102",".549","22","28",".786","31","104","20","11","15","27","66","140"
"Dyaisha Fair","LVA","G","1","4","1","0","4","0","2",".000","0","1",".000","0","1",".000","0","0","","0","0","2","0","0","0","0","0"
"Dulcy Fankam Mendjiadeu","SEA","F-C","7","36","7","0","36","2","3",".667","0","0","","2","3",".667","2","6",".333","4","9","1","0","0","3","5","6"
"Leonie Fiebich","NYL","F","40","837","40","15","837","97","203",".478","55","127",".433","42","76",".553","18","25",".720","39","121","70","38","7","41","88","267"
"Kysre Gondrezick","CHI","G","5","16","5","0","16","2","7",".286","1","6",".167","1","1","1.000","0","0","","1","2","2","4","0","3","2","5"
"Allisha Gray","ATL","G","40","1327","40","40","1327","205","509",".403","69","202",".342","136","307",".443","143","186",".769","44","175","107","42","29","67","94","622"
"Chelsea Gray","LVA","G","27","702","27","25","702","84","206",".408","26","77",".338","58","129",".450","39","48",".813","5","79","132","34","19","64","37","233"
"Brittney Griner","PHO","C","30","861","30","30","861","219","378",".579","9","18",".500","210","360",".583","87","112",".777","54","197","69","16","46","53","57","534"
"Megan Gustafson","LVA","C","38","405","38","7","405","53","106",".500","22","57",".386","31","49",".633","13","17",".765","23","73","9","13","5","14","59","141"
"Dearica Hamby","LAS","F","40","1346","40","40","1346","268","523",".512","30","88",".341","238","435",".547","125","198",".631","61","368","139","68","8","118","110","691"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Isabelle Harrison","CHI","F","36","587","36","5","587","95","238",".399","3","18",".167","92","220",".418","41","50",".820","38","141","27","20","12","39","47","234"
"Mikiah Herbert Harrigan","PHO","F","31","336","31","3","336","35","86",".407","17","53",".321","18","33",".545","11","20",".550","15","45","9","16","11","15","28","98"
"Tyasha Harris","CON","G","39","1125","39","38","1125","145","341",".425","60","152",".395","85","189",".450","59","77",".766","10","69","118","40","13","54","66","409"
"Tiffany Hayes","LVA","G","33","708","33","5","708","110","220",".500","33","82",".402","77","138",".558","60","84",".714","27","92","69","25","9","28","68","313"
"Destanni Henderson","ATL","G","6","105","6","0","105","10","29",".345","1","10",".100","9","19",".474","3","7",".429","0","12","15","2","1","10","5","24"
"Natisha Hiedeman","MIN","G","40","607","40","0","607","73","192",".380","23","82",".280","50","110",".455","25","34",".735","15","62","95","32","6","44","49","194"
"Naz Hillmon","ATL","F","40","868","40","19","868","90","163",".552","1","3",".333","89","160",".556","48","63",".762","64","193","52","28","11","38","54","229"
"Joyner Holmes","SEA","F","27","231","27","0","231","33","78",".423","6","31",".194","27","47",".574","7","11",".636","14","49","25","6","6","21","28","79"
"Jordan Horston","SEA","F","39","871","39","14","871","111","225",".493","13","52",".250","98","173",".566","31","43",".721","47","168","69","50","26","66","73","266"
"Natasha Howard","DAL","F","27","825","27","26","825","187","410",".456","11","55",".200","176","355",".496","89","124",".718","53","182","78","34","21","76","85","474"
"Rhyne Howard","ATL","G","30","1018","30","29","1018","167","450",".371","80","243",".329","87","207",".420","105","134",".784","25","131","94","54","19","51","63","519"
"Lexie Hull","IND","G","34","671","34","11","671","60","136",".441","33","70",".471","27","66",".409","33","41",".805","33","84","36","22","11","29","85","186"
"Sabrina Ionescu","NYL","G","38","1221","38","38","1221","239","606",".394","107","321",".333","132","285",".463","106","118",".898","28","169","235","38","13","104","46","691"
"Rickea Jackson","LAS","F","40","1152","40","35","1152","200","439",".456","43","124",".347","157","315",".498","92","114",".807","51","155","59","27","14","76","70","535"
"Brionna Jones","CON","F","40","1087","40","40","1087","220","409",".538","2","14",".143","218","395",".552","107","145",".738","86","221","60","46","23","51","106","549"
"Haley Jones","ATL","F-G","40","712","40","24","712","58","146",".397","6","28",".214","52","118",".441","33","47",".702","10","88","84","14","11","68","80","155"
"Jonquel Jones","NYL","C","39","1164","39","39","1164","206","383",".538","59","152",".388","147","231",".636","82","104",".788","67","350","126","30","50","92","113","553"
"Dorka Juhász","MIN","F","34","547","34","7","547","69","144",".479","11","34",".324","58","110",".527","13","20",".650","32","129","36","15","13","21","39","162"
"Ezinne Kalu","ATL","G","1","13","1","0","13","1","3",".333","0","1",".000","1","2",".500","1","1","1.000","0","1","0","1","0","0","4","3"
"Betnijah Laney-Hamilton","NYL","G-F","28","848","28","25","848","120","263",".456","41","102",".402","79","161",".491","48","53",".906","30","118","93","32","1","66","60","329"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Lou Lopez Sénéchal","DAL","G","27","125","27","0","125","10","34",".294","3","15",".200","7","19",".368","2","4",".500","3","11","10","3","0","6","13","25"
"Jewell Loyd","SEA","G","37","1246","37","37","1246","224","622",".360","59","215",".274","165","407",".405","222","252",".881","26","166","135","52","8","85","67","729"
"Natasha Mack","PHO","F","40","619","40","11","619","71","124",".573","0","3",".000","71","121",".587","11","19",".579","60","199","44","27","47","28","56","153"
"Ezi Magbegor","SEA","F-C","37","1135","37","37","1135","172","336",".512","13","53",".245","159","283",".562","76","87",".874","83","296","74","40","82","53","117","433"
"Kate Martin","LVA","G","34","392","34","2","392","27","88",".307","22","62",".355","5","26",".192","11","12",".917","6","54","30","7","8","21","29","87"
"Kayla McBride","MIN","G","39","1237","39","39","1237","174","414",".420","105","258",".407","69","156",".442","133","149",".893","14","100","126","49","2","79","48","586"
"Teaira McCowan","DAL","C","39","983","39","38","983","184","323",".570","1","4",".250","183","319",".574","89","124",".718","112","314","61","34","34","77","117","458"
"Aari McDonald","LAS","G","26","568","26","10","568","77","191",".403","29","91",".319","48","100",".480","43","51",".843","12","52","96","23","6","48","52","226"
