Player,Team,Pos,G,MP,G.1,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Kayla Alexander,TOR,C,4,40,4,0,40,3,7,.429,0,0,,3,7,.429,3,4,.750,4,11,2,1,1,4,4,9
Julie Allemand,TOR,G,29,831,29,27,831,69,127,.543,36,85,.424,33,42,.786,10,13,.769,7,90,161,40,12,51,56,184
Rebecca Allen,NYL,F-G,25,459,25,12,459,50,120,.417,32,80,.400,18,40,.450,11,13,.846,15,62,17,14,10,14,52,143
Laeticia Amihere,GSV,F,35,403,35,1,403,45,93,.484,5,13,.385,40,80,.500,24,45,.533,43,108,34,15,26,28,56,119
Georgia Amoore,WAS,G,40,919,40,40,919,86,241,.357,56,172,.326,30,69,.435,35,41,.854,11,57,138,12,5,84,96,263
Nell Angloma,CON,F,36,418,36,1,418,52,124,.419,5,28,.179,47,96,.490,41,62,.661,29,66,28,20,10,29,62,150
Pauline Astier,NYL,G,40,933,40,35,933,135,250,.540,15,48,.313,120,202,.594,81,92,.880,22,98,135,34,6,68,117,366
Ariel Atkins,LAS,G,38,1033,38,38,1033,114,306,.373,45,160,.281,69,146,.473,50,54,.926,27,109,111,63,15,57,117,323
Shakira Austin,WAS,C,39,1154,39,39,1154,239,489,.489,17,50,.340,222,439,.506,162,223,.726,75,367,97,27,52,114,73,657
Valeriane Ayayi,PHO,F,33,543,33,5,543,49,130,.377,19,64,.297,30,66,.455,92,110,.836,21,89,42,17,7,45,63,209
Rachel Banham,CHI,G,36,476,36,2,476,57,163,.350,40,121,.331,17,42,.405,14,17,.824,3,45,45,11,8,27,46,168
Ornella Bankole,TOR,F,10,135,10,0,135,13,27,.481,5,11,.455,8,16,.500,4,5,.800,9,20,9,2,0,2,30,35
Sarah Ashlee Barker,POR,G,26,642,26,15,642,108,215,.502,36,90,.400,72,125,.576,26,35,.743,21,117,62,23,9,52,64,278
Raegan Beers,CON,F,34,396,34,1,396,44,93,.473,2,5,.400,42,88,.477,35,53,.660,42,105,27,15,7,29,89,125
Kierstan Bell,LVA,F,26,265,26,0,265,19,68,.279,12,49,.245,7,19,.368,3,4,.750,10,39,16,6,10,12,28,53
Lauren Betts,WAS,C,40,684,40,1,684,100,182,.549,0,0,,100,182,.549,54,74,.730,46,177,42,21,30,35,52,254
Monique Billings,IND,F,39,765,39,31,765,92,177,.520,5,18,.278,87,159,.547,77,103,.748,67,188,40,35,19,31,86,266
Isobel Borlase,ATL,G,40,515,40,1,515,68,164,.415,19,62,.306,49,102,.480,30,32,.938,11,58,40,9,4,30,52,185
Aliyah Boston,IND,C-F,36,993,36,36,993,232,440,.527,40,98,.408,192,342,.561,105,127,.827,63,297,108,54,46,84,115,609
Cameron Brink,LAS,F,30,571,30,1,571,98,204,.480,28,86,.326,70,118,.593,63,81,.778,42,150,45,18,51,73,109,287
Noémie Brochant,PHO,F-G,39,895,39,29,895,95,206,.461,40,102,.392,55,104,.529,11,16,.688,15,75,68,42,8,36,60,241
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Lexie Brown,SEA,G,10,148,10,0,148,12,26,.462,9,20,.450,3,6,.500,5,6,.833,1,13,11,5,1,10,13,38
Paige Bueckers,DAL,G,38,1256,38,38,1256,296,585,.506,69,174,.397,227,411,.552,117,134,.873,26,154,225,32,15,81,96,778
Frieda Bühner,POR,F-C,35,522,35,0,522,74,172,.430,31,85,.365,43,87,.494,41,46,.891,26,76,24,11,2,31,55,220
Kennedy Burke,CON,G-F,37,881,37,14,881,112,279,.401,44,136,.324,68,143,.476,57,80,.713,38,119,53,46,30,55,55,325
Rae Burrell,LAS,G-F,39,1129,39,31,1129,196,424,.462,62,165,.376,134,259,.517,114,142,.803,22,93,100,34,24,95,62,568
Veronica Burton,GSV,G,40,1137,40,40,1137,161,373,.432,57,157,.363,104,216,.481,114,139,.820,47,142,232,60,16,56,105,493
Maya Caldwell,MIN,G,40,551,40,3,551,55,147,.374,28,75,.373,27,72,.375,22,27,.815,31,86,40,25,7,28,54,160
Jordin Canada,ATL,G,39,1230,39,39,1230,149,342,.436,36,121,.298,113,221,.511,118,154,.766,28,144,288,74,11,101,103,452
Emma Cannon,LAS,F,16,110,16,0,110,18,36,.500,10,20,.500,8,16,.500,15,19,.789,9,22,5,1,2,14,24,61
Kamilla Cardoso,CHI,C,39,1040,39,39,1040,219,400,.548,0,0,,219,400,.548,139,186,.747,110,341,96,24,59,66,138,577
Bridget Carleton,POR,F,39,1195,39,39,1195,186,460,.404,106,288,.368,80,172,.465,79,90,.878,28,175,84,61,17,47,83,557
Raquel Carrera Quintana,NYL,C,22,120,22,0,120,11,20,.550,2,8,.250,9,12,.750,7,12,.583,8,24,7,2,2,6,17,31
DiJonai Carrington,CHI,G-F,11,178,11,0,178,31,94,.330,7,25,.280,24,69,.348,28,38,.737,5,34,7,7,2,9,22,97
Chennedy Carter,LVA,G,13,220,13,0,220,60,100,.600,11,21,.524,49,79,.620,28,37,.757,9,23,17,11,4,17,32,159
Sha Carter,PHO,F,13,81,13,0,81,3,18,.167,0,9,.000,3,9,.333,9,16,.563,3,9,7,5,0,2,11,15
Emma Čechová,MIN,C,3,52,3,0,52,10,16,.625,0,1,.000,10,15,.667,5,8,.625,4,11,0,1,2,4,12,25
Kaila Charles,GSV,G-F,40,786,40,9,786,91,219,.416,25,89,.281,66,130,.508,39,50,.780,61,177,55,30,9,39,93,246
Kaitlyn Chen,GSV,G,40,590,40,0,590,109,205,.532,22,55,.400,87,150,.580,30,42,.714,13,44,77,11,0,47,47,270
Shay Ciezki,PHO,G,4,49,4,0,49,10,19,.526,3,7,.429,7,12,.583,2,4,.500,1,7,7,1,2,2,9,25
Sonia Citron,WAS,G,37,1228,37,37,1228,197,415,.475,51,152,.336,146,263,.555,177,203,.872,34,137,159,45,23,92,77,622
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Alysha Clark,DAL,F,27,309,27,1,309,20,50,.400,12,33,.364,8,17,.471,14,21,.667,10,45,18,5,4,15,52,66
Caitlin Clark,IND,G,36,1126,36,36,1126,259,568,.456,106,284,.373,153,284,.539,185,222,.833,8,139,302,35,18,166,115,809
Natasha Cloud,CHI,G,39,1113,39,26,1113,149,304,.490,45,126,.357,104,178,.584,100,117,.855,11,134,191,42,13,86,117,443
Nia Coffey,MIN,F,40,919,40,28,919,97,217,.447,50,129,.388,47,88,.534,12,22,.545,34,177,70,38,42,28,83,256
Napheesa Collier,MIN,F,12,365,12,12,365,79,161,.491,21,45,.467,58,116,.500,37,43,.860,15,88,33,17,12,26,21,216
Maria Conde,TOR,F,33,888,33,19,888,102,277,.368,53,150,.353,49,127,.386,36,41,.878,32,153,86,15,5,53,65,293
Zia Cooke,SEA,G,40,604,40,0,604,98,280,.350,32,107,.299,66,173,.382,77,96,.802,19,68,42,16,1,44,54,305
Kahleah Copper,PHO,G-F,38,1252,38,38,1252,272,611,.445,65,218,.298,207,393,.527,201,255,.788,20,136,71,29,3,91,102,810
Aicha Coulibaly,CHI,G,28,377,28,4,377,43,98,.439,1,19,.053,42,79,.532,48,54,.889,16,77,16,20,7,21,45,135
Sophie Cunningham,IND,G,39,884,39,3,884,98,209,.469,63,145,.434,35,64,.547,63,72,.875,10,89,49,22,5,28,72,322
Damiris Dantas,IND,C-F,12,98,12,0,98,13,32,.406,7,20,.350,6,12,.500,7,9,.778,4,18,4,2,2,9,22,40
Antonia Delaere,MIN,G,37,423,37,0,423,38,85,.447,25,58,.431,13,27,.481,6,6,1.000,7,27,40,16,0,14,36,107
Skylar Diggins,CHI,G,19,553,19,19,553,87,222,.392,26,68,.382,61,154,.396,69,89,.775,13,60,93,18,11,33,41,269
Stefanie Dolson,SEA,C,40,605,40,12,605,42,95,.442,19,52,.365,23,43,.535,25,30,.833,24,96,47,12,16,33,87,128
Angela Dugalić,WAS,F,34,321,34,3,321,38,89,.427,4,31,.129,34,58,.586,17,25,.680,20,82,21,12,7,23,33,97
Kara Dunn,PHO,G,1,19,1,0,19,3,8,.375,3,5,.600,0,3,.000,0,0,,2,2,1,0,0,0,3,9
Aaliyah Edwards,CON,F,26,528,26,17,528,112,208,.538,6,14,.429,106,194,.546,59,79,.747,35,114,24,19,9,42,60,289
Emily Engstler,POR,F,40,980,40,40,980,154,321,.480,48,135,.356,106,186,.570,45,64,.703,48,222,84,59,59,76,122,401
Dana Evans,LVA,G,11,182,11,1,182,14,57,.246,8,26,.308,6,31,.194,2,4,.500,0,18,23,2,2,12,11,38
Temi Fagbenle,TOR,C,23,398,23,8,398,51,99,.515,10,28,.357,41,71,.577,15,26,.577,26,77,23,12,7,28,54,127
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Awa Fam,SEA,C,33,911,33,22,911,130,288,.451,49,138,.355,81,150,.540,30,36,.833,63,189,59,29,26,53,85,339
Mariella Fasoula,TOR,C,3,15,3,0,15,2,5,.400,0,0,,2,5,.400,0,0,,1,3,1,1,2,2,5,4
Marine Fauthoux,NYL,G,18,235,18,0,235,21,57,.368,11,35,.314,10,22,.455,16,25,.640,6,37,35,3,0,22,16,69
Sania Feagin,LAS,F,3,10,3,0,10,0,1,.000,0,0,,0,1,.000,0,0,,0,1,2,0,0,0,3,0
Leonie Fiebich,NYL,F,17,503,17,17,503,57,125,.456,32,74,.432,25,51,.490,28,32,.875,20,51,34,19,1,30,40,174
Nadia Fingall,GSV,C,9,28,9,0,28,4,6,.667,1,3,.333,3,3,1.000,2,2,1.000,3,5,2,0,0,1,1,11
Alicia Flórez,WAS,G,31,376,31,0,376,37,113,.327,8,44,.182,29,69,.420,20,38,.526,11,45,61,18,5,36,49,102
Alex Fowler,NYL,F,2,31,2,0,31,4,10,.400,2,7,.286,2,3,.667,2,2,1.000,0,0,1,1,0,3,10,12
Azzi Fudd,DAL,G,30,950,30,24,950,156,342,.456,62,156,.397,94,186,.505,19,23,.826,16,52,55,52,25,33,68,393
Rebekah Gardner,NYL,G,38,570,38,2,570,76,153,.497,10,41,.244,66,112,.589,40,43,.930,38,96,48,20,8,21,64,202
Luisa Geiselsöder,POR,C,21,348,21,9,348,33,100,.330,16,55,.291,17,45,.378,12,15,.800,10,55,27,7,8,19,53,94
Allisha Gray,ATL,G,40,1318,40,40,1318,260,565,.460,75,225,.333,185,340,.544,177,223,.794,28,136,103,52,15,62,114,772
Chelsea Gray,LVA,G,39,1283,39,39,1283,171,391,.437,68,184,.370,103,207,.498,59,63,.937,10,122,264,53,14,107,82,469
Chance Gray,LAS,G,37,417,37,0,417,34,92,.370,24,69,.348,10,23,.435,17,20,.850,10,41,37,6,0,22,27,109
Zaay Green,TOR,G,3,30,3,0,30,3,8,.375,1,5,.200,2,3,.667,0,0,,0,2,1,1,0,2,3,7
Aubrey Griffin,NYL,G-F,4,8,4,0,8,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,0,0,0,1,1,2
Brittney Griner,CON,C,18,455,18,18,455,97,184,.527,1,4,.250,96,180,.533,43,64,.672,35,105,45,8,32,32,48,238
Megan DiLeo,POR,C,38,912,38,29,912,197,357,.552,51,139,.367,146,218,.670,58,72,.806,52,159,35,14,23,27,100,503
Bree Hall,IND,G,4,13,4,0,13,3,6,.500,2,2,1.000,1,4,.250,0,2,.000,0,1,0,0,0,0,0,8
Dearica Hamby,LAS,F,40,1153,40,40,1153,223,404,.552,9,37,.243,214,367,.583,123,178,.691,77,282,98,59,16,77,116,578
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Eliška Hamzová,MIN,G,21,112,21,0,112,10,23,.435,0,6,.000,10,17,.588,16,21,.762,7,22,23,3,3,11,17,36
Rori Harmon,WAS,G,12,70,12,0,70,4,11,.364,1,5,.200,3,6,.500,3,4,.750,0,8,11,5,0,12,12,12
Isabelle Harrison,TOR,F,28,657,28,22,657,128,289,.443,18,62,.290,110,227,.485,73,100,.730,50,182,47,22,21,49,71,347
Jordan Harrison,POR,G,12,153,12,1,153,21,47,.447,5,15,.333,16,32,.500,16,21,.762,6,21,42,6,1,21,26,63
Tyasha Harris,IND,G,35,489,35,4,489,50,118,.424,23,64,.359,27,54,.500,24,27,.889,5,38,69,10,5,18,39,147
Tiffany Hayes,GSV,G,38,631,38,2,631,111,239,.464,24,80,.300,87,159,.547,94,116,.810,21,79,91,30,8,43,77,340
Natisha Hiedeman,SEA,G,36,1073,36,36,1073,198,446,.444,68,202,.337,130,244,.533,91,106,.858,9,97,172,39,5,80,63,555
Naz Hillmon,ATL,F,39,1145,39,37,1145,135,287,.470,45,149,.302,90,138,.652,41,50,.820,58,179,58,23,16,56,84,356
Myisha Hines-Allen,IND,F,34,463,34,3,463,49,103,.476,7,21,.333,42,82,.512,19,29,.655,20,108,51,17,12,37,71,124
Emese Hof,MIN,C,3,21,3,0,21,3,6,.500,0,0,,3,6,.500,1,2,.500,2,5,2,0,0,4,6,7
Joyner Holmes,SEA,F,1,15,1,0,15,1,4,.250,0,1,.000,1,3,.333,0,0,,1,5,1,0,3,2,1,2
Mackenzie Holmes,SEA,F,25,242,25,0,242,24,45,.533,6,11,.545,18,34,.529,12,17,.706,23,72,13,14,6,12,37,66
Jordan Horston,SEA,F,35,609,35,21,609,64,171,.374,13,58,.224,51,113,.451,25,37,.676,33,125,46,37,18,42,62,166
Natasha Howard,MIN,F,40,1174,40,40,1174,243,413,.588,3,16,.188,240,397,.605,106,148,.716,135,309,134,69,38,103,137,595
Rhyne Howard,ATL,G,39,1348,39,39,1348,231,564,.410,128,349,.367,103,215,.479,125,142,.880,28,148,141,91,35,55,112,715
Lexie Hull,IND,G,40,766,40,37,766,77,177,.435,32,92,.348,45,85,.529,29,35,.829,36,125,28,22,7,30,108,215
Sabrina Ionescu,NYL,G,27,820,27,26,820,137,342,.401,52,176,.295,85,166,.512,81,90,.900,20,108,128,18,9,74,46,407
Kiki Iriafen,WAS,F,37,1051,37,37,1051,217,427,.508,13,40,.325,204,387,.527,120,183,.656,111,349,59,25,14,64,118,567
Ashlon Jackson,CON,G,15,171,15,0,171,13,46,.283,5,32,.156,8,14,.571,0,2,.000,1,14,9,8,1,4,11,31
Rickea Jackson,CHI,F,4,118,4,4,118,24,60,.400,6,21,.286,18,39,.462,18,22,.818,4,19,8,1,7,8,7,72
