Player,Team,Pos,G,MP,G.1,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Aziaha James,DAL,G,35,406,35,2,406,78,199,.392,13,55,.236,65,144,.451,46,63,.730,21,84,43,28,9,24,54,215
Gabriela Jaquez,CHI,G,35,663,35,15,663,82,199,.412,16,61,.262,66,138,.478,48,58,.828,24,103,30,24,2,36,48,228
Justė Jocytė,GSV,G-F,14,98,14,0,98,10,33,.303,5,17,.294,5,16,.313,5,6,.833,1,7,12,0,1,9,6,30
Marine Johannes,NYL,G,37,769,37,18,769,108,257,.420,79,203,.389,29,54,.537,21,24,.875,14,77,90,30,5,61,57,316
Flau'jae Johnson,SEA,G,38,1071,38,38,1071,188,472,.398,49,173,.283,139,299,.465,109,134,.813,41,183,110,51,28,96,103,534
Raven Johnson,IND,G,35,361,35,0,361,44,110,.400,11,45,.244,33,65,.508,8,10,.800,17,59,42,11,3,27,44,107
Brionna Jones,ATL,F,9,152,9,0,152,27,52,.519,1,6,.167,26,46,.565,19,21,.905,18,50,18,3,6,9,22,74
Jonquel Jones,NYL,C,39,1109,39,39,1109,191,386,.495,72,182,.396,119,204,.583,114,138,.826,81,351,104,24,43,81,115,568
Dorka Juhász,MIN,F,17,245,17,0,245,25,62,.403,14,43,.326,11,19,.579,1,4,.250,7,45,21,5,11,9,13,65
Laura Juškaitė,TOR,F,40,997,40,32,997,145,311,.466,39,123,.317,106,188,.564,81,102,.794,44,171,68,46,10,82,133,410
Teonni Key,TOR,F,35,350,35,1,350,28,75,.373,3,19,.158,25,56,.446,10,19,.526,27,64,17,14,18,18,48,69
Liatu King,MIN,F,9,74,9,0,74,10,17,.588,2,6,.333,8,11,.727,4,10,.400,8,23,0,3,4,5,13,26
Gianna Kneepkens,CON,G,32,283,32,4,283,33,93,.355,9,46,.196,24,47,.511,20,21,.952,14,39,13,5,2,6,44,95
Sika Koné,ATL,F,32,160,32,1,160,17,54,.315,5,28,.179,12,26,.462,15,21,.714,14,32,6,2,0,8,30,54
Anastasiia Kosu,MIN,F,30,307,30,0,307,39,82,.476,2,3,.667,37,79,.468,28,33,.848,35,59,20,17,12,19,37,108
Awak Kuier,DAL,F,37,655,37,22,655,82,170,.482,24,72,.333,58,98,.592,31,43,.721,29,141,37,20,57,35,63,219
Leïla Lacan,CON,G,27,766,27,27,766,119,281,.423,29,92,.315,90,189,.476,47,65,.723,14,50,125,45,9,59,77,314
Charlisse Leger-Walker,CON,G,40,944,40,28,944,102,270,.378,40,117,.342,62,153,.405,45,58,.776,13,96,146,32,9,72,91,289
Carla Leite,POR,G,36,933,36,35,933,173,377,.459,34,85,.400,139,292,.476,193,221,.873,22,76,228,24,2,120,96,573
Kyara Linskens,PHO,C,19,202,19,1,202,19,58,.328,7,26,.269,12,32,.375,12,17,.706,13,45,12,10,14,11,30,57
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Darianna Littlepage-Buggs,WAS,G-F,3,3,3,0,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0
Jewell Loyd,LVA,G,38,1000,38,3,1000,95,268,.354,62,192,.323,33,76,.434,40,49,.816,18,89,55,40,5,36,86,292
Marina Mabrey,TOR,G,32,944,32,32,944,218,494,.441,105,273,.385,113,221,.511,126,143,.881,17,105,118,29,12,99,84,667
Natasha Mack,PHO,F-C,32,711,32,23,711,115,190,.605,2,8,.250,113,182,.621,37,48,.771,74,218,39,25,38,29,78,269
Ezi Magbegor,SEA,F-C,14,286,14,9,286,37,93,.398,8,26,.308,29,67,.433,14,16,.875,7,56,25,11,17,15,35,96
Taina Mair,SEA,G,9,46,9,0,46,4,17,.235,3,7,.429,1,10,.100,2,2,1.000,2,4,4,0,1,4,6,13
Dominique Malonga,SEA,C,31,820,31,30,820,210,436,.482,20,71,.282,190,365,.521,88,116,.759,81,279,54,29,46,84,90,528
Morgan Maly,CHI,F,2,6,2,0,6,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Rayah Marshall,CON,C-F,4,27,4,0,27,2,8,.250,0,0,,2,8,.250,4,6,.667,4,6,1,0,1,3,2,8
Kate Martin,LAS,G,17,120,17,0,120,13,35,.371,8,26,.308,5,9,.556,5,8,.625,5,19,6,5,3,3,15,39
Kayla McBride,MIN,G,40,1303,40,40,1303,237,510,.465,116,278,.417,121,232,.522,133,145,.917,24,124,86,67,9,51,76,723
Teaira McCowan,MIN,C,10,68,10,0,68,7,15,.467,0,0,,7,15,.467,0,3,.000,5,24,3,1,5,6,19,14
Cotie McMahon,WAS,G,38,748,38,5,748,80,208,.385,22,77,.286,58,131,.443,58,96,.604,19,112,71,20,6,42,74,240
Jade Melbourne,SEA,G,39,978,39,31,978,123,278,.442,31,102,.304,92,176,.523,95,122,.779,16,84,152,37,8,70,117,372
Olivia Miles,MIN,G,38,1175,38,38,1175,267,539,.495,63,159,.396,204,380,.537,152,175,.869,22,175,227,48,24,117,114,749
Nikolina Milic,TOR,C,7,63,7,1,63,9,19,.474,0,2,.000,9,17,.529,3,4,.750,2,9,3,0,0,5,7,21
Diamond Miller,CON,F,40,903,40,40,903,125,348,.359,46,145,.317,79,203,.389,87,109,.798,15,106,57,27,8,58,128,386
Kelsey Mitchell,IND,G,40,1314,40,40,1314,352,686,.513,121,266,.455,231,420,.550,176,209,.842,21,68,112,42,5,70,98,1001
Tonie Morgan,LAS,G,8,118,8,1,118,14,26,.538,1,4,.250,13,22,.591,7,10,.700,1,9,18,6,0,12,15,36
Ndjakalenga Mwenentanda,GSV,G,5,13,5,0,13,0,1,.000,0,1,.000,0,0,,0,0,,1,2,2,0,0,1,1,0
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Olivia Nelson-Ododa,CON,C,32,684,32,22,684,120,211,.569,0,2,.000,120,209,.574,81,120,.675,53,190,52,25,26,52,98,321
Indya Nivar,ATL,G,20,61,20,0,61,7,18,.389,2,3,.667,5,15,.333,1,13,.077,4,17,7,5,2,4,15,17
Jovana Nogić,PHO,G,16,323,16,7,323,50,119,.420,32,76,.421,18,43,.419,34,38,.895,7,17,26,10,0,23,36,166
Kia Nurse,TOR,G,39,531,39,3,531,63,179,.352,43,130,.331,20,49,.408,43,48,.896,9,45,40,14,0,19,50,212
Aaliyah Nye,ATL,G-F,19,43,19,0,43,4,12,.333,3,9,.333,1,3,.333,3,3,1.000,0,3,3,1,1,2,0,14
Teja Oblak,POR,G,29,388,29,1,388,63,151,.417,22,60,.367,41,91,.451,13,18,.722,15,46,92,19,1,72,44,161
Arike Ogunbowale,DAL,G,40,1192,40,40,1192,198,494,.401,71,212,.335,127,282,.450,142,160,.888,33,124,127,39,2,64,91,609
Nneka Ogwumike,LAS,F,39,1208,39,39,1208,263,512,.514,54,137,.394,209,375,.557,90,105,.857,68,346,117,45,13,74,65,670
Madina Okot,ATL,C,39,358,39,2,358,83,144,.576,1,8,.125,82,136,.603,43,56,.768,45,130,10,12,11,49,62,210
Lucy Olsen,WAS,G,19,138,19,0,138,18,42,.429,8,20,.400,10,22,.455,8,10,.800,1,11,18,3,1,10,18,52
Michaela Onyenwere,WAS,F,36,906,36,36,906,106,241,.440,50,125,.400,56,116,.483,58,70,.829,51,97,61,16,6,59,92,320
Ugonne Onyiah,IND,F-C,1,1,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Te-Hina PaoPao,ATL,G,31,347,31,1,347,38,112,.339,26,73,.356,12,39,.308,9,10,.900,4,24,42,6,3,17,36,111
Cheyenne Parker-Tyus,LVA,F,27,289,27,1,289,47,89,.528,7,15,.467,40,74,.541,43,54,.796,27,75,15,10,16,16,48,144
Jihyun Park,LAS,G,33,300,33,0,300,26,66,.394,9,33,.273,17,33,.515,12,21,.571,10,33,16,14,1,9,37,73
Alissa Pili,LAS,F,5,40,5,0,40,4,12,.333,2,4,.500,2,8,.250,0,2,.000,5,11,4,1,0,4,7,10
Justine Pissott,LVA,G-F,9,84,9,0,84,13,36,.361,10,27,.370,3,9,.333,2,2,1.000,0,10,4,2,3,3,13,38
Tima Pouye,TOR,G,19,178,19,1,178,19,55,.345,8,26,.308,11,29,.379,14,18,.778,6,16,22,4,0,14,32,60
Ashten Prechtel,GSV,F,5,40,5,0,40,3,8,.375,2,5,.400,1,3,.333,3,3,1.000,2,10,3,1,4,7,11,11
Cassandre Prosper,WAS,G,35,349,35,2,349,29,95,.305,7,39,.179,22,56,.393,8,17,.471,23,37,16,9,3,21,60,73
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Nyadiew Puoch,POR,F,39,689,39,25,689,58,162,.358,19,77,.247,39,85,.459,19,30,.633,31,77,28,28,5,21,85,154
JJ Quinerly,DAL,G,2,12,2,0,12,1,3,.333,0,1,.000,1,2,.500,0,0,,0,1,2,0,1,0,0,2
Angel Reese,ATL,F,39,1231,39,39,1231,221,506,.437,9,50,.180,212,456,.465,177,241,.734,198,485,108,72,26,126,148,628
Kiki Rice,TOR,G,24,639,24,16,639,99,206,.481,21,60,.350,78,146,.534,82,95,.863,25,85,78,19,5,40,73,301
Saniya Rivers,CON,G,36,817,36,16,817,100,286,.350,13,72,.181,87,214,.407,42,71,.592,17,87,114,40,22,49,66,255
Mercedes Russell,IND,C,5,34,5,0,34,1,3,.333,0,0,,1,3,.333,6,8,.750,0,4,4,1,0,1,7,8
Nyara Sabally,TOR,F,24,573,24,20,573,108,205,.527,20,51,.392,88,154,.571,59,82,.720,43,126,41,24,21,38,65,295
Satou Sabally,NYL,F,13,218,13,5,218,45,98,.459,20,52,.385,25,46,.543,25,29,.862,5,36,25,1,2,22,34,135
Janelle Salaün,GSV,F,38,849,38,0,849,159,374,.425,92,232,.397,67,142,.472,82,101,.812,40,148,46,23,4,30,81,492
Karlie Samuelson,POR,G,28,428,28,0,428,37,99,.374,28,86,.326,9,13,.692,25,28,.893,14,42,22,15,3,9,45,127
Katie Lou Samuelson,SEA,G,32,491,32,1,491,47,116,.405,26,81,.321,21,35,.600,22,28,.786,12,67,26,26,3,15,30,142
Jacy Sheldon,CHI,G,40,827,40,18,827,91,214,.425,34,109,.312,57,105,.543,39,46,.848,15,52,65,32,11,37,100,255
Jessica Shepard,DAL,F,38,1210,38,38,1210,225,383,.587,1,11,.091,224,372,.602,97,140,.693,108,420,188,28,3,73,78,548
Jaylyn Sherrod,ATL,G,10,71,10,1,71,7,24,.292,2,5,.400,5,19,.263,7,7,1.000,0,9,11,5,2,3,11,23
Maddy Siegrist,DAL,F,37,527,37,6,527,91,189,.481,28,70,.400,63,119,.529,23,27,.852,32,101,33,15,14,10,60,233
Odyssey Sims,DAL,G,31,453,31,11,453,51,136,.375,15,47,.319,36,89,.404,31,36,.861,3,29,62,16,2,31,38,148
Kamiah Smalls,POR,G,2,30,2,1,30,5,10,.500,4,7,.571,1,3,.333,1,1,1.000,0,0,6,0,0,4,2,15
Alanna Smith,DAL,F,32,572,32,18,572,75,164,.457,18,69,.261,57,95,.600,25,37,.676,36,126,33,23,15,38,76,193
NaLyssa Smith,LVA,F,38,925,38,38,925,183,287,.638,1,8,.125,182,279,.652,77,134,.575,84,244,34,24,25,33,121,444
Miela Sowah,GSV,G,6,20,6,0,20,1,9,.111,0,7,.000,1,2,.500,0,0,,1,5,0,0,0,2,2,2
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Azura Stevens,CHI,F-C,31,763,31,30,763,127,298,.426,27,107,.252,100,191,.524,52,66,.788,42,202,67,26,22,51,93,333
Breanna Stewart,NYL,F,39,1287,39,39,1287,271,583,.465,29,116,.250,242,467,.518,226,267,.846,59,316,125,51,53,80,85,797
Kiah Stokes,GSV,C,39,855,39,39,855,57,131,.435,19,64,.297,38,67,.567,7,15,.467,43,211,48,23,66,19,88,140
Marta Suárez,PHO,F,15,136,15,0,136,22,44,.500,5,14,.357,17,30,.567,9,14,.643,8,20,6,3,1,11,28,58
Brittney Sykes,TOR,G,17,500,17,17,500,102,244,.418,16,62,.258,86,182,.473,96,107,.897,16,59,57,20,8,36,41,316
