"Player","Team","Pos","G","MP","G.1","GS","MP.1","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Alyssa Thomas","CON","F","40","1446","40","40","1446","243","513",".474","0","3",".000","243","510",".476","133","186",".715","80","394","316","73","19","137","109","619"
"Jasmine Thomas","LAS","G","32","410","32","7","410","30","110",".273","15","62",".242","15","48",".313","10","11",".909","10","34","42","9","6","21","28","85"
"Sam Thomas","PHO","G-F","1","11","1","0","11","0","2",".000","0","0","","0","2",".000","0","0","","0","1","0","0","0","0","1","0"
"Kayla Thornton","NYL","F","40","693","40","0","693","65","150",".433","25","80",".313","40","70",".571","23","30",".767","48","141","27","28","10","20","66","178"
"Kristi Toliver","WAS","G","11","99","11","0","99","13","39",".333","10","28",".357","3","11",".273","4","5",".800","1","8","8","3","0","7","9","40"
"Kayana Traylor","MIN","G","8","35","8","0","35","3","10",".300","0","1",".000","3","9",".333","2","2","1.000","1","1","3","2","0","3","5","8"
"Brianna Turner","PHO","F-C","40","1052","40","33","1052","67","103",".650","0","0","","67","103",".650","6","12",".500","50","253","50","39","44","60","89","140"
"Yvonne Turner","SEA","G","21","193","21","7","193","19","41",".463","1","3",".333","18","38",".474","14","18",".778","2","23","18","8","2","14","14","53"
"Courtney Vandersloot","NYL","G","39","1187","39","39","1187","161","364",".442","37","126",".294","124","238",".521","51","67",".761","19","136","314","51","23","104","78","410"
"Victoria Vivians","IND","G-F","38","674","38","14","674","73","192",".380","27","94",".287","46","98",".469","23","30",".767","19","119","49","27","6","31","72","196"
"Shatori Walker-Kimbrough","WAS","G","40","993","40","15","993","87","203",".429","32","82",".390","55","121",".455","44","47",".936","8","82","66","29","14","26","48","250"
"Kristy Wallace","IND","G","37","728","37","9","728","93","232",".401","37","85",".435","56","147",".381","21","28",".750","22","82","71","23","9","49","64","244"
"Erica Wheeler","IND","G","40","1071","40","40","1071","146","367",".398","30","97",".309","116","270",".430","72","82",".878","16","120","201","44","3","83","96","394"
"Sami Whitcomb","SEA","G","40","978","40","19","978","128","320",".400","89","231",".385","39","89",".438","44","53",".830","19","114","115","35","14","80","74","389"
"Courtney Williams","CHI","G","40","1204","40","40","1204","176","403",".437","47","106",".443","129","297",".434","15","25",".600","38","241","251","38","12","98","65","414"
"Elizabeth Williams","CHI","C-F","40","1188","40","40","1188","167","325",".514","0","0","","167","325",".514","58","92",".630","90","232","98","50","60","54","101","392"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Gabby Williams","SEA","F","10","285","10","8","285","34","94",".362","5","23",".217","29","71",".408","11","13",".846","14","36","38","15","4","22","19","84"
"Madi Williams","PHO","G-F","5","46","5","0","46","5","15",".333","0","3",".000","5","12",".417","0","0","","2","5","1","2","1","6","6","10"
"Jocelyn Willoughby","NYL","F-G","29","192","29","0","192","12","30",".400","7","16",".438","5","14",".357","4","4","1.000","10","23","11","3","0","8","19","35"
"A'ja Wilson","LVA","C","40","1228","40","40","1228","335","601",".557","9","29",".310","326","572",".570","233","287",".812","82","380","64","56","89","62","85","912"
"Han Xu","NYL","C","8","36","8","0","36","6","20",".300","0","7",".000","6","13",".462","0","0","","3","7","0","2","1","5","2","12"
"Jackie Young","LVA","G","40","1259","40","40","1259","249","476",".523","89","198",".449","160","278",".576","117","135",".867","26","160","151","52","5","70","80","704"
"Kristine Anigwe","TOT","F-C","13","89","13","0","89","10","24",".417","0","1",".000","10","23",".435","5","8",".625","8","22","4","3","5","7","23","25"
"Alaina Coates","TOT","C","12","35","12","0","35","5","6",".833","0","0","","5","6",".833","1","4",".250","2","10","0","3","0","7","10","11"
"Liz Dixon","TOT","F","14","77","14","0","77","10","19",".526","0","0","","10","19",".526","7","8",".875","9","15","3","0","3","4","4","27"
