Player,Team,Pos,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Lexi Held,TOT,G,11,107,0,5,21,0.238,4,10,0.4,1,11,0.091,8,8,1.0,3,6,9,12,3,1,6,11,22
Anneli Maley,TOT,F,4,28,0,0,4,0.0,0,2,0.0,0,2,0.0,1,2,0.5,2,3,5,0,3,0,0,6,1
Grace VanSlooten,TOT,F,6,55,0,6,9,0.667,2,3,0.667,4,6,0.667,5,8,0.625,1,5,6,3,4,3,1,2,19
Monique Akoa Makani,PHO,G,5,130,5,15,35,0.429,7,16,0.438,8,19,0.421,18,21,0.857,1,14,15,16,10,1,11,16,55
Julie Allemand,TOR,G,6,146,4,10,23,0.435,3,13,0.231,7,10,0.7,4,4,1.0,1,17,18,21,10,1,7,7,27
Rebecca Allen,NYL,F-G,5,70,0,2,17,0.118,2,12,0.167,0,5,0.0,6,6,1.0,1,8,9,4,2,1,4,10,12
Laeticia Amihere,GSV,F,9,116,0,14,33,0.424,0,1,0.0,14,32,0.438,12,22,0.545,17,19,36,14,2,8,7,17,40
Georgia Amoore,WAS,G,10,238,10,17,55,0.309,12,38,0.316,5,17,0.294,13,14,0.929,1,11,12,35,5,3,22,29,59
Nell Angloma,CON,F,10,127,0,18,35,0.514,1,3,0.333,17,32,0.531,15,25,0.6,6,9,15,4,8,2,9,21,52
Pauline Astier,NYL,G,12,314,11,51,90,0.567,10,21,0.476,41,69,0.594,24,31,0.774,8,31,39,44,8,4,21,39,136
Ariel Atkins,LAS,G,9,238,9,30,84,0.357,11,39,0.282,19,45,0.422,16,17,0.941,8,22,30,20,16,4,20,31,87
Shakira Austin,WAS,C,10,286,10,54,110,0.491,4,10,0.4,50,100,0.5,42,56,0.75,14,69,83,29,8,13,30,22,154
Valeriane Ayayi,PHO,F,9,78,1,5,21,0.238,2,6,0.333,3,15,0.2,11,17,0.647,7,11,18,11,3,0,7,13,23
Rachel Banham,CHI,G,11,195,2,20,62,0.323,13,47,0.277,7,15,0.467,6,7,0.857,1,12,13,14,2,5,13,20,59
Sarah Ashlee Barker,POR,G,13,295,2,50,99,0.505,18,40,0.45,32,59,0.542,13,18,0.722,12,46,58,31,10,3,25,32,131
Raegan Beers,CON,F,11,140,0,20,36,0.556,1,2,0.5,19,34,0.559,7,13,0.538,15,28,43,11,5,1,11,31,48
Kierstan Bell,LVA,F,8,95,0,3,20,0.15,2,14,0.143,1,6,0.167,0,0,,3,12,15,5,3,3,3,5,8
Lauren Betts,WAS,C,10,137,0,23,46,0.5,0,0,,23,46,0.5,12,15,0.8,9,18,27,4,1,3,4,17,58
Monique Billings,IND,F,10,208,10,20,49,0.408,3,11,0.273,17,38,0.447,14,21,0.667,19,31,50,10,9,7,8,23,57
DeWanna Bonner,PHO,F-G,12,313,7,36,104,0.346,9,51,0.176,27,53,0.509,24,25,0.96,9,48,57,16,12,9,11,21,105
Isobel Borlase,ATL,G,10,87,0,12,24,0.5,3,9,0.333,9,15,0.6,2,2,1.0,2,8,10,8,2,1,2,3,29
Aliyah Boston,IND,C-F,10,251,10,55,109,0.505,10,24,0.417,45,85,0.529,37,43,0.86,18,60,78,24,11,12,28,37,157
Cameron Brink,LAS,F,11,190,1,32,64,0.5,7,23,0.304,25,41,0.61,24,31,0.774,13,32,45,12,7,16,33,44,95
Noémie Brochant,PHO,F-G,12,245,6,23,56,0.411,11,30,0.367,12,26,0.462,4,5,0.8,6,23,29,8,8,6,8,17,61
Lexie Brown,SEA,G,10,148,0,12,26,0.462,9,20,0.45,3,6,0.5,5,6,0.833,1,12,13,11,5,1,10,13,38
Paige Bueckers,DAL,G,10,327,10,67,136,0.493,18,44,0.409,49,92,0.533,31,40,0.775,5,31,36,62,5,3,18,27,183
Frieda Bühner,POR,F-C,10,128,0,16,37,0.432,4,17,0.235,12,20,0.6,13,13,1.0,7,8,15,3,2,0,8,12,49
Kennedy Burke,CON,G-F,12,275,7,28,83,0.337,9,37,0.243,19,46,0.413,14,23,0.609,10,32,42,22,14,11,26,23,79
Rae Burrell,LAS,G-F,11,293,7,39,91,0.429,13,42,0.31,26,49,0.531,16,21,0.762,8,20,28,18,7,2,22,22,107
Veronica Burton,GSV,G,11,312,11,47,120,0.392,17,46,0.37,30,74,0.405,40,49,0.816,12,24,36,61,8,8,16,40,151
Maya Caldwell,MIN,G,11,162,0,17,48,0.354,11,27,0.407,6,21,0.286,7,7,1.0,7,16,23,13,6,5,9,16,52
Jordin Canada,ATL,G,10,301,10,41,83,0.494,10,29,0.345,31,54,0.574,24,30,0.8,5,32,37,67,21,1,23,24,116
Emma Cannon,LAS,F,2,3,0,1,1,1.0,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,2,2,3
Kamilla Cardoso,CHI,C,11,294,11,50,102,0.49,0,0,,50,102,0.49,34,48,0.708,33,73,106,26,3,19,16,36,134
