"Player","Team","Pos","G","MP","GS","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Marquesha Davis","NYL","G",20,80,0,9,22,0.409,1,1,1.0,8,21,0.381,5,7,0.714,2,8,10,4,1,4,3,11,24
"Diamond DeShields","CHI","G",32,441,10,56,161,0.348,9,52,0.173,47,109,0.431,22,36,0.611,7,39,46,43,20,8,29,52,143
"Skylar Diggins","SEA","G",40,1262,40,218,510,0.427,39,134,0.291,179,376,0.476,130,150,0.867,28,77,105,257,68,36,110,112,605
"Liz Dixon","PHO","F",17,160,0,11,29,0.379,0,0,"",11,29,0.379,8,10,0.8,14,27,41,9,1,9,8,13,30
"Ivana Dojkić","NYL","G",26,257,0,25,74,0.338,16,42,0.381,9,32,0.281,21,27,0.778,9,13,22,20,9,1,14,26,87
"Stefanie Dolson","WAS","C",39,1013,39,133,280,0.475,72,155,0.465,61,125,0.488,33,42,0.786,33,160,193,102,21,18,68,114,371
"Aaliyah Edwards","WAS","F",34,741,17,103,210,0.49,0,7,0.0,103,203,0.507,52,80,0.65,48,143,191,48,25,27,50,91,258
"Emily Engstler","WAS","F",32,464,3,76,154,0.494,27,57,0.474,49,97,0.505,18,22,0.818,44,84,128,47,19,24,22,49,197
"Olivia Époupa","MIN","G",17,114,0,6,16,0.375,0,0,"",6,16,0.375,2,2,1.0,6,13,19,26,14,0,15,13,14
"Dana Evans","CHI","G",39,743,12,95,252,0.377,41,109,0.376,54,143,0.378,48,50,0.96,5,38,43,94,26,5,53,48,279
"Temi Fagbenle","IND","C",22,415,2,58,114,0.509,2,12,0.167,56,102,0.549,22,28,0.786,31,73,104,20,11,15,27,66,140
"Dyaisha Fair","LVA","G",1,4,0,0,2,0.0,0,1,0.0,0,1,0.0,0,0,"",0,0,0,2,0,0,0,0,0
"Dulcy Fankam Mendjiadeu","SEA","F-C",7,36,0,2,3,0.667,0,0,"",2,3,0.667,2,6,0.333,4,5,9,1,0,0,3,5,6
"Leonie Fiebich","NYL","F",40,837,15,97,203,0.478,55,127,0.433,42,76,0.553,18,25,0.72,39,82,121,70,38,7,41,88,267
"Kysre Gondrezick","CHI","G",5,16,0,2,7,0.286,1,6,0.167,1,1,1.0,0,0,"",1,1,2,2,4,0,3,2,5
"Allisha Gray","ATL","G",40,1327,40,205,509,0.403,69,202,0.342,136,307,0.443,143,186,0.769,44,131,175,107,42,29,67,94,622
"Chelsea Gray","LVA","G",27,702,25,84,206,0.408,26,77,0.338,58,129,0.45,39,48,0.813,5,74,79,132,34,19,64,37,233
"Brittney Griner","PHO","C",30,861,30,219,378,0.579,9,18,0.5,210,360,0.583,87,112,0.777,54,143,197,69,16,46,53,57,534
"Megan Gustafson","LVA","C",38,405,7,53,106,0.5,22,57,0.386,31,49,0.633,13,17,0.765,23,50,73,9,13,5,14,59,141
"Dearica Hamby","LAS","F",40,1346,40,268,523,0.512,30,88,0.341,238,435,0.547,125,198,0.631,61,307,368,139,68,8,118,110,691
"Isabelle Harrison","CHI","F",36,587,5,95,238,0.399,3,18,0.167,92,220,0.418,41,50,0.82,38,103,141,27,20,12,39,47,234
"Mikiah Herbert Harrigan","PHO","F",31,336,3,35,86,0.407,17,53,0.321,18,33,0.545,11,20,0.55,15,30,45,9,16,11,15,28,98
"Tyasha Harris","CON","G",39,1125,38,145,341,0.425,60,152,0.395,85,189,0.45,59,77,0.766,10,59,69,118,40,13,54,66,409
"Tiffany Hayes","LVA","G",33,708,5,110,220,0.5,33,82,0.402,77,138,0.558,60,84,0.714,27,65,92,69,25,9,28,68,313
"Destanni Henderson","ATL","G",6,105,0,10,29,0.345,1,10,0.1,9,19,0.474,3,7,0.429,0,12,12,15,2,1,10,5,24
"Natisha Hiedeman","MIN","G",40,607,0,73,192,0.38,23,82,0.28,50,110,0.455,25,34,0.735,15,47,62,95,32,6,44,49,194
"Naz Hillmon","ATL","F",40,868,19,90,163,0.552,1,3,0.333,89,160,0.556,48,63,0.762,64,129,193,52,28,11,38,54,229
"Joyner Holmes","SEA","F",27,231,0,33,78,0.423,6,31,0.194,27,47,0.574,7,11,0.636,14,35,49,25,6,6,21,28,79
"Jordan Horston","SEA","F",39,871,14,111,225,0.493,13,52,0.25,98,173,0.566,31,43,0.721,47,121,168,69,50,26,66,73,266
"Natasha Howard","DAL","F",27,825,26,187,410,0.456,11,55,0.2,176,355,0.496,89,124,0.718,53,129,182,78,34,21,76,85,474
