Player,Team,Pos,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Maya Caldwell,ATL,G,39,708,16,78,183,0.426,37,103,0.359,41,80,0.513,14,18,0.778,32,83,115,71,34,7,38,58,207
Jordin Canada,ATL,G,26,749,25,104,266,0.391,25,86,0.291,79,180,0.439,71,94,0.755,8,79,87,149,45,8,57,45,304
Emma Cannon,LAS,F,20,206,0,32,62,0.516,14,35,0.4,18,27,0.667,15,23,0.652,11,26,37,7,9,1,15,36,93
Kamilla Cardoso,CHI,C,37,1001,36,204,383,0.533,1,2,0.5,203,381,0.533,90,126,0.714,107,201,308,90,13,40,90,108,499
Bridget Carleton,MIN,F,41,1147,41,98,239,0.41,61,159,0.384,37,80,0.463,17,23,0.739,36,113,149,82,35,11,29,78,274
Tina Charles,CON,C,40,1141,39,243,554,0.439,12,44,0.273,231,510,0.453,159,184,0.864,60,175,235,68,33,17,77,85,657
Kaitlyn Chen,GSV,G,23,242,0,19,50,0.38,5,15,0.333,14,35,0.4,5,7,0.714,5,17,22,24,5,0,18,16,48
Sonia Citron,WAS,G,42,1347,42,212,453,0.468,76,174,0.437,136,279,0.487,127,145,0.876,29,139,168,100,51,16,84,89,627
Caitlin Clark,IND,G,13,404,13,72,196,0.367,29,104,0.279,43,92,0.467,41,50,0.82,1,64,65,115,21,7,66,35,214
Natasha Cloud,NYL,G,39,1142,39,146,335,0.436,51,149,0.342,95,186,0.511,58,67,0.866,14,135,149,205,48,14,72,116,401
Nia Coffey,ATL,F,42,430,2,51,137,0.372,22,76,0.289,29,61,0.475,36,50,0.72,25,83,108,45,10,15,29,45,160
Napheesa Collier,MIN,F,31,1001,31,261,492,0.53,43,112,0.384,218,380,0.574,151,167,0.904,60,172,232,101,51,49,67,75,716
Sydney Colson,IND,G,30,404,6,26,76,0.342,13,47,0.277,13,29,0.448,6,7,0.857,7,18,25,60,15,6,35,34,71
Zia Cooke,SEA,G,26,261,0,30,84,0.357,15,38,0.395,15,46,0.326,15,23,0.652,6,8,14,14,10,1,22,26,90
Kahleah Copper,PHO,G-F,25,686,25,141,329,0.429,52,133,0.391,89,196,0.454,69,81,0.852,11,66,77,40,29,5,57,68,403
Sophie Cunningham,IND,G,30,756,13,82,175,0.469,51,118,0.432,31,57,0.544,42,48,0.875,15,90,105,36,29,3,34,65,257
Damiris Dantas,IND,C-F,36,410,0,57,170,0.335,20,87,0.23,37,83,0.446,22,26,0.846,26,57,83,25,6,3,29,56,156
Kariata Diaby,CON,C,13,103,0,7,14,0.5,0,0,,7,14,0.5,11,14,0.786,3,10,13,5,6,1,12,19,25
Skylar Diggins,SEA,G,42,1314,42,225,527,0.427,62,168,0.369,163,359,0.454,145,184,0.788,24,80,104,252,52,34,88,97,657
Stefanie Dolson,WAS,C,41,621,14,59,137,0.431,26,71,0.366,33,66,0.5,14,20,0.7,16,75,91,57,12,13,27,90,158
Emily Engstler,WAS,F,38,492,0,52,131,0.397,16,62,0.258,36,69,0.522,22,34,0.647,34,86,120,54,28,25,37,51,142
Dana Evans,LVA,G,41,716,1,100,256,0.391,34,92,0.37,66,164,0.402,40,53,0.755,6,36,42,82,17,5,32,52,274
Temi Fagbenle,GSV,C,36,836,35,113,224,0.504,11,56,0.196,102,168,0.607,25,34,0.735,61,116,177,59,31,20,54,109,262
